before,reverse_color,after,length,swing_to
BBBBPP,BBBPP,BBBPBB,5,P
BBPBBP,BBBBBPP,PBBBBP,7,P
BBBPPP,BBBBPP,PBPPPP,6,P
BBPPPB,PPPPPPBB,BBBBPB,8,B
BPPBPP,BBBBPP,BBPPPB,6,P
BBPPBB,PPPBB,BBPPBP,5,B
BPPBPP,BBBPP,BBPPBB,5,P
BBPPBB,PPPPBB,BPBBPP,6,B
BBBPBB,PPPPPBB,PBBPPP,7,B
BBBBPB,PPPBB,BPBPPB,5,B
BBPBPP,BBBBBPP,PPPBBP,7,P
BBBBPP,PPPBB,PPBBPB,5,B
BPPBBP,BBBBBPP,PBBBBB,7,P
BBBPPP,BBBBBBBBBBBBBBPP,PBBBBP,16,P
PPPPBP,BBBPP,PPPPBP,5,P
PPPBBB,PPPBB,PPBBBB,5,B
PPBBPP,BBBBPP,BBBBBB,6,P
BBBBPP,BBBBBBBBPP,BBBBPB,10,P
PBBBBP,BBBPP,BPBBBB,5,P
BBPPBP,BBBBPP,PPBBBB,6,P
BPBBPP,BBBPP,PBBPBB,5,P
PBBPBB,PPPBB,PBBPPP,5,B
PBBPBB,PPPBB,PBBBBB,5,B
BBBBBP,BBBPP,BBBBBB,5,P
PBPPBB,PPPPPPPPPPBB,PPBBPP,12,B
PBPPPB,PPPBB,PPPBBP,5,B
BPPPBB,PPPBB,PBPBBB,5,B
PBBPBP,BBBPP,PPPBBP,5,P
PBBBPP,PPPBB,PBPPPP,5,B
PPBBPB,PPPPPBB,PBBPPB,7,B
BPBBPB,PPPBB,BBPBBP,5,B
BPBBPB,PPPPBB,PPPBBB,6,B
PPPPBB,PPPBB,BPPPBP,5,B
PPBBPP,BBBPP,PBBPPP,5,P
BPPPBB,PPPBB,PPPBPB,5,B
PBPPBP,BBBPP,PBBBBP,5,P
PBPBPB,PPPPPBB,PPPBBP,7,B
PPPPBB,PPPBB,PPPBPP,5,B
PPBBBB,PPPBB,BPPPPB,5,B
PPPBBB,PPPPBB,BPBBPB,6,B
BPBBPP,BBBPP,PPBBBB,5,P
BBPPPP,BBBBBBPP,PBPPPP,8,P
BPPBPB,PPPPPBB,BPPBPP,7,B
BBBPPB,PPPBB,PBPPPB,5,B
PPBBPB,PPPBB,PPPBBB,5,B
BPPPBB,PPPBB,BBPBBP,5,B
BBBBBP,BBBPP,BBPPPB,5,P
BBPPBB,PPPBB,PPPPBB,5,B
BPPPBB,PPPPBB,PBBPBB,6,B
BBBPBB,PPPPPPBB,BPBBPP,8,B
PBBPPB,PPPBB,PBPPBP,5,B
PBPPPB,PPPBB,BPPBBB,5,B
PBBBPP,BBBPP,PPPBBP,5,P
BBBBPB,PPPPPPPPPPBB,BPBPBP,12,B
BBPBPB,PPPBB,BBBBBP,5,B
BBBBBP,BBBPP,PBBBBP,5,P
BBBPPP,BBBBPP,PBPPPP,6,P
BBBBBP,BBBBBBPP,PPPBPB,8,P
PPPPBP,BBBBBPP,BBPBBP,7,P
BPBPBB,PPPBB,PBPBPP,5,B
PBPBPP,BBBBPP,BPBPBP,6,P
PBPBPP,BBBBPP,PPBPPB,6,P
BPBBPP,BBBBPP,PBBBBP,6,P
BBBPPP,BBBBPP,PBBBPP,6,P
BBBPPP,BBBPP,PBBBPP,5,P
BBBPPP,BBBPP,PPBBBP,5,P
PPBPBB,PPPPBB,BBBBBP,6,B
PPPPBP,BBBBBBBPP,PBBBBP,9,P
PBBBBP,BBBBBBPP,BPPPPP,8,P
BBBPPB,PPPPPPBB,BPBPBP,8,B
BBPBPB,PPPBB,PBBPPP,5,B
BPPPBP,BBBBPP,BBBPBP,6,P
PBBBBP,BBBBPP,PPPPPB,6,P
BBBBPP,PPPPPBB,BPBBPP,7,B
PBBPPB,PPPBB,BBPPBP,5,B
PPPPBP,BBBPP,BBPPPB,5,P
BPBPBB,PPPPPBB,PPPBPB,7,B
BPBBPP,BBBBBPP,BBPPPP,7,P
BPBPPB,PPPPBB,BPPBPB,6,B
BPPBPB,PPPPBB,PPPPPB,6,B
PPPPBB,PPPPPBB,BPPBBP,7,B
BPBBPP,BBBBBBPP,PPBBPB,8,P
BBPPPB,PPPBB,BBPPBP,5,B
BBPBPP,BBBPP,PPPPPP,5,P
PBBBPP,PPPPPPBB,PPBBPB,8,B
BPPBBP,BBBBBPP,BBBPBB,7,P
BPBBBP,BBBBPP,PBPBBB,6,P
BPPPBP,BBBPP,PPPBBB,5,P
PBBBPP,PPPBB,BBPPPP,5,B
BPBPBP,BBBPP,PPBBBP,5,P
BBPPPP,BBBPP,BPPPBP,5,P
BPBBPP,BBBBBBPP,BBPPPP,8,P
BPBBPB,PPPBB,PBPPBB,5,B
BBPBPP,BBBBBBBBBBPP,BBBBPP,12,P
PBBPBB,PPPBB,BBBPPB,5,B
BPPPBB,BBBPP,BPBPPB,5,P
PPPPBP,BBBBPP,PPPBBB,6,P
PPBPPB,PPPPBB,PPBBPP,6,B
BBPPBB,PPPBB,PPBBPP,5,B
BBBPBB,PPPPPBB,BBPPBB,7,B
PPPBPP,BBBPP,PBPBBP,5,P
PPBPBB,PPPBB,PPBPBB,5,B
BBPPBP,BBBPP,BBBBBP,5,P
PBBBPP,BBBBBPP,PBPBPP,7,P
PBPBBP,BBBBPP,PBPPBP,6,P
BPPPPB,PPPPBB,PBPPBB,6,B
PBBPBB,PPPPBB,PBPPPP,6,B
PPBPBP,BBBPP,BPPPBP,5,P
PBPBBP,BBBPP,BBBBBP,5,P
PBBBPP,BBBBBPP,PPPPBP,7,P
PBPBBP,BBBPP,PPBBBB,5,P
PPPPBP,BBBPP,BPBBPB,5,P
PBBPBB,PPPPPPBB,PBBBPB,8,B
PBBBPP,BBBBPP,PBPBBP,6,P
BPBBPB,PPPBB,BPPPBB,5,B
PPPBBB,PPPBB,BPPBBB,5,B
PBBBPP,BBBBPP,PBBBPB,6,P
PBBBPP,BBBBBBBBPP,BPBPBB,10,P
PPBBPP,BBBPP,BBBBBB,5,P
BBPPPB,PPPPBB,BPPBPB,6,B
BBBPBP,BBBPP,BPBPBP,5,P
PBBBPB,PPPBB,PPPPPP,5,B
PPPPPB,PPPBB,BPBPPP,5,B
PBBBPB,PPPBB,PBBBPP,5,B
BPBPPB,PPPPPBB,BBPPBB,7,B
BBPPBB,PPPPPPPBB,PPBBPP,9,B
BPBPBB,PPPBB,PPBPPB,5,B
BPPBPP,BBBPP,BPPPBP,5,P
PBBPPB,PPPBB,PPPBPP,5,B
BPBBPB,PPPPBB,PPBBPP,6,B
PBBBBP,BBBBBPP,BPPBPB,7,P
PBPPBP,BBBBPP,BBPPBB,6,P
BPBBBP,BBBBPP,PBBPPP,6,P
PPPPPB,PPPPPBB,BPPBBP,7,B
PBPPBB,PPPPBB,BPPBBB,6,B
PBBBPP,BBBBBPP,PBBPBP,7,P
PPBPBP,BBBBPP,BBBBPB,6,P
PBBPPB,PPPBB,BPBBPP,5,B
BBBPBB,PPPPPBB,BBBBPB,7,B
BBBBPB,PPPPBB,PPBBBP,6,B
PPBBPP,BBBPP,PPPPPP,5,P
PBBBPP,PPPPPPBB,BBBBPP,8,B
BPBPBB,PPPPBB,PPBPPB,6,B
BPPBPP,BBBPP,PPPBPB,5,P
BPPPBP,BBBPP,PBPPBB,5,P
PPPBPP,BBBPP,PPPBBP,5,P
PBBBPP,PPPBB,PBBPBB,5,B
BBPBBP,BBBBPP,PPBPPP,6,P
BPPPBP,BBBBPP,BPBBPB,6,P
PPBPBB,PPPBB,BBBBPP,5,B
BPPPBB,BBBBPP,PPPPPP,6,P
BBBBPP,PPPPPPBB,BBBBPB,8,B
PPPPBP,BBBBBBPP,PBBBPP,8,P
BBBPPP,BBBPP,BPBBBP,5,P
BPBBBP,BBBBPP,BPPBPP,6,P
PBPPBB,PPPPBB,BBBBBP,6,B
PPPBBP,BBBBPP,BPBPBB,6,P
PPBPBP,BBBBPP,BBBBPB,6,P
BBPPPB,PPPPPBB,PPBBPP,7,B
BPBPPB,PPPBB,BBBPPB,5,B
BPPPBB,BBBPP,BBPPPB,5,P
BBPPPB,PPPBB,PPBBBB,5,B
BBBPBB,PPPPPBB,PBBBBB,7,B
PBPBPP,BBBPP,BPPPBP,5,P
PBBBPB,PPPPPBB,PPPPPB,7,B
PPPBPP,BBBBPP,PPPPPP,6,P
BBBBPP,PPPPPPPBB,BBPPPB,9,B
PPBBBB,PPPBB,BPPPBP,5,B
BBPPBB,PPPPPBB,BPBBBB,7,B
BPBBPP,BBBBPP,BPBBBP,6,P
BBPPBP,BBBPP,BBPBPB,5,P
PPBBPP,BBBBPP,PPBBPB,6,P
BBPBPP,BBBBBPP,PBBPPP,7,P
BPPPPB,PPPPBB,PBBBPB,6,B
BPBPBP,BBBPP,PBBBPP,5,P
BBBPPP,BBBPP,BBPPPB,5,P
BBPPBB,PPPBB,PPBBPP,5,B
BBPBBP,BBBPP,PPPPBB,5,P
PBBBPP,PPPPBB,BBBPPB,6,B
PPPPBB,BBBPP,BPBPPP,5,P
PPBBPB,PPPBB,PBPPBP,5,B
BBPBPB,PPPPPPBB,PBBPBP,8,B
PPPPPB,PPPPPBB,PPPBPB,7,B
PPBBPP,BBBPP,BBPBBB,5,P
PBPBBP,BBBBBPP,PBBPPB,7,P
PBBPPB,PPPPPBB,BPBPPP,7,B
PBBBPB,PPPBB,PBBPPB,5,B
BBPPPB,PPPPPPPBB,PBPPPB,9,B
PBPBBP,BBBBPP,PBPPPB,6,P
BBPPPB,PPPBB,PBPBPB,5,B
BBPPBB,PPPPBB,BBPBBB,6,B
PBBBBP,BBBPP,PBBPPP,5,P
PPBPBP,BBBBPP,PBBBBB,6,P
BPPBPP,BBBPP,PPBBPP,5,P
PPPPBB,PPPPPPBB,PBPBBB,8,B
PBBPBP,BBBBBPP,PPPPPB,7,P
BBBBPP,PPPPPBB,BPPBBB,7,B
PPPBPB,PPPBB,BBBBBB,5,B
BPPPBB,BBBBBBPP,BPPPBB,8,P
BBBPPB,PPPBB,BPBBBB,5,B
PBBPPB,PPPPPPPBB,BBPBBP,9,B
PPBBBB,PPPPPBB,PPPBPP,7,B
BBPPPB,PPPPBB,BBBBBB,6,B
PPPPBB,BBBBBBPP,BBBPPB,8,P
BBBBPP,BBBPP,BBBBBB,5,P
PBBBPP,BBBBBBBBBBBBPP,PBPPBP,14,P
PBBPBB,PPPPBB,PPPBBP,6,B
PPPPBB,PPPBB,PPPBPP,5,B
BBPPPB,PPPPPPPBB,BBBPPB,9,B
PPPPBB,BBBPP,BBBPPB,5,P
BBBBPP,BBBPP,BPBPBB,5,P
BPBBBP,BBBPP,BPPBPP,5,P
BPPPPB,PPPPBB,PPBBBB,6,B
BPPBBP,BBBBPP,PBBBPP,6,P
BBBPPP,BBBPP,BBBPBP,5,P
BPPPPB,PPPPPBB,PPBBPP,7,B
BBPPBB,PPPPBB,BBBBBB,6,B
BBPBPB,PPPPBB,BPPPBB,6,B
PPPBBB,PPPBB,BPPBBP,5,B
BBPPPB,PPPBB,BBPPPP,5,B
PPBBPP,BBBBPP,BPBBPB,6,P
BBBPBP,BBBBPP,BBPPBP,6,P
BBBPBB,PPPPPPPBB,PBBBBP,9,B
PBBPPB,PPPPBB,PBPBPB,6,B
BBBBPB,PPPBB,PBBBPP,5,B
PPPBBP,BBBPP,PPPPBB,5,P
PBBBPP,PPPPBB,BPPBBP,6,B
PBPPBB,PPPPPBB,BPBBPB,7,B
BBBBPP,BBBPP,PBBBBB,5,P
BBBPPP,BBBBBBPP,BPBBBP,8,P
BBPPBP,BBBPP,BPPBPP,5,P
PPBPPB,PPPBB,PBPPPB,5,B
PBPBPB,PPPPPPBB,BBBBBP,8,B
BPPPBP,BBBPP,PBBPPP,5,P
BPPPBB,PPPPBB,BPBPPP,6,B
PPPPPB,PPPBB,PBBBBB,5,B
BPBPBB,PPPPBB,PBPBPP,6,B
BBBPBB,PPPPPBB,PPBBBB,7,B
PPBBPP,BBBBBPP,PBPPPP,7,P
BPBBPP,BBBBBBBPP,BPPBBB,9,P
BPBBPP,BBBBPP,BBBBBB,6,P
BBBBPB,PPPPPPPPPBB,PBBPPP,11,B
PPBPBB,PPPBB,PPPBPP,5,B
BBPPPB,PPPBB,PBBPPP,5,B
PBBPBB,PPPBB,PBPPBB,5,B
BBBPBB,PPPPBB,BBPPBP,6,B
PBPBPP,BBBPP,PBBPPP,5,P
BPPPBB,PPPPBB,BBBBPP,6,B
PPPPBB,BBBBPP,BBBPBB,6,P
PBPPPB,PPPPBB,PPBBPP,6,B
BBPPBB,PPPBB,BBPPPB,5,B
BPBPBB,PPPPBB,BBBBBP,6,B
PBPBPP,BBBPP,BBPBBB,5,P
BPPBBP,BBBPP,PBPPPP,5,P
BBPPPB,PPPPBB,BBPBBB,6,B
PBBBBP,BBBPP,BPBBBB,5,P
BBPPBP,BBBBBPP,BPBPPP,7,P
PBBBPB,PPPBB,PBBPBB,5,B
BBPBPP,BBBBPP,BBBBBP,6,P
PPBBPP,BBBPP,BPBPPB,5,P
BPPPBP,BBBPP,BBPPPP,5,P
BPBPPB,PPPPPBB,PBPPBB,7,B
PBPPBB,PPPBB,BPBPBB,5,B
BBBPBP,BBBBBPP,PPPPPB,7,P
BBBBPP,PPPPPBB,PPPBBP,7,B
PPPPBB,PPPBB,PPBPPB,5,B
BBBBBP,BBBPP,PPBBBB,5,P
BBPBBP,BBBBPP,BBBPPB,6,P
BBBBPP,BBBPP,BPPPPP,5,P
BBBPPB,PPPPPBB,BPPPBB,7,B
PPPBBB,PPPBB,BBBPBB,5,B
BBBBBP,BBBBBBPP,PPBBBB,8,P
BBPBBP,BBBPP,BPBPPP,5,P
BPBBPP,BBBBBPP,PBPPPB,7,P
PBPPPB,PPPBB,BBPPBP,5,B
PBBBPB,PPPBB,PBBBPB,5,B
PPBPPB,PPPBB,BPBPBP,5,B
BBPBBP,BBBPP,PBBBPB,5,P
BBPBBP,BBBPP,BPPBPB,5,P
BBBBPB,PPPBB,BBPPPP,5,B
PPBBBB,PPPPBB,PBPBPB,6,B
PBBBPB,PPPPBB,PBBBPP,6,B
PPPBBP,BBBPP,PPPBPP,5,P
BBPBPP,BBBPP,PPPPPP,5,P
PBBBPP,PPPPPPPPPPBB,BBPPBB,12,B
PPBBBB,PPPPPPBB,BPPPBB,8,B
PPPBBB,PPPBB,BPPPBB,5,B
PPPBBB,PPPBB,BPPBPP,5,B
BBBPPB,PPPBB,BBBBBB,5,B
BPPPBB,BBBBBBPP,PPPBPP,8,P
PPPPPB,PPPBB,BBBBBP,5,B
BBBBBP,BBBPP,PPBPPP,5,P
PPBBBP,BBBPP,PBPPPB,5,P
PPBPPB,PPPBB,PPPPPP,5,B
PPPBPB,PPPPPBB,PBBBBB,7,B
PPBPBB,PPPPPPBB,BBPBBB,8,B
BBBBPB,PPPPPBB,PBPPBB,7,B
PBBBBP,BBBBBBBBBBPP,PBPPPB,12,P
BBPPPB,PPPBB,BBBBPP,5,B
BPPPBB,BBBBPP,PBBBBP,6,P
PPBPBB,PPPBB,BPBBBB,5,B
PPBBBP,BBBBBPP,PPPPPB,7,P
BBBBPP,PPPPPBB,BPPPPB,7,B
PPPBBB,PPPPBB,PBPPBP,6,B
PPBPBB,PPPBB,PPBBBP,5,B
PBPBPB,PPPPBB,PBPBPP,6,B
BBPPBP,BBBBBBPP,BBPPPP,8,P
PPPBPP,BBBPP,BPPPBP,5,P
PPBBPP,BBBBBPP,BBPPPP,7,P
BBPPBB,PPPPPBB,BPPBBP,7,B
BBPBPP,BBBBBBBBPP,BPPPPP,10,P
PBPPBB,PPPBB,BBPPBB,5,B
BBBBPP,BBBBBBBPP,PPPPPP,9,P
PBPBPP,BBBBBPP,PPPPPB,7,P
BBBBPP,PPPPPBB,BPPPPP,7,B
PPPBBB,PPPPPBB,BBBPPP,7,B
PPPPBB,BBBPP,PPPPBB,5,P
BBBBPP,PPPPBB,BPBPPB,6,B
PPBPBB,PPPPPPBB,BBBPBP,8,B
BBBBBP,BBBPP,PBPPPB,5,P
BBPPPB,PPPBB,BPBPPP,5,B
BBBBBP,BBBBPP,PBBPPP,6,P
BPPPBB,PPPBB,BBPPPB,5,B
PPBBBB,PPPBB,BPPPBP,5,B
PPBBBB,PPPBB,BPPPPB,5,B
PPPBBB,PPPPBB,PPPPPP,6,B
PPPPBB,PPPPPPPBB,BBPBPP,9,B
BBBBPB,PPPBB,PPPPPB,5,B
BPPPBB,PPPPPBB,BBBPBP,7,B
PPPPBP,BBBBBBBBBBBPP,PPPBBB,13,P
BBBBPP,PPPBB,BPBPBP,5,B
BBPBPB,PPPBB,BPPBBB,5,B
PBBBPP,BBBBPP,PPBBPP,6,P
PBPBBP,BBBPP,PBPPPP,5,P
BBPPPB,PPPPBB,BPBBPP,6,B
BBPPBB,PPPBB,BBBBPP,5,B
BPPPBB,BBBBPP,BBBBPP,6,P
BBBBPP,BBBBPP,PBBBBP,6,P
BBBPPP,BBBBPP,BPPPBP,6,P
BPPBBP,BBBPP,PPPPPP,5,P
PBPPPB,PPPBB,BPPPBB,5,B
PPPBBB,PPPBB,PBPPBP,5,B
PBBBPP,BBBBPP,PPBPPP,6,P
BPPBPP,BBBPP,BBBBBP,5,P
PBBBPP,BBBBBPP,BBPBPB,7,P
PPBPBB,PPPPBB,PBBPBB,6,B
PPBBBP,BBBPP,PPBBBB,5,P
PPBBBP,BBBPP,PPPPPP,5,P
PBBBPP,PPPPPPPPPPPBB,BBBPBB,13,B
BBPBPB,PPPBB,PBPBPP,5,B
BBPBPB,PPPBB,BBPPPB,5,B
PPBBBB,PPPBB,PBPBBP,5,B
PPBBPP,BBBBBBBBPP,BBBBPP,10,P
PBBPPB,PPPBB,PBPPBB,5,B
BBPBPP,BBBBPP,BBPPPB,6,P
PBPPBB,PPPPPPBB,BBBBBB,8,B
BBBPBB,PPPBB,BBPPPP,5,B
PPBBBB,PPPPPPBB,PBPBBP,8,B
BPBPBB,PPPPBB,BBPBPP,6,B
BBBBPB,PPPBB,BBPPPP,5,B
PPBBBB,PPPPBB,PBBBBB,6,B
BPBBPP,BBBBPP,PBBPPP,6,P
BPPPBB,PPPPBB,PBBBBB,6,B
PPPBBP,BBBBBPP,PBBPPB,7,P
PPBBPB,PPPPPBB,PPPBPB,7,B
BPPBPP,BBBBPP,PPPPBP,6,P
PPPPPB,PPPPBB,BBPPBB,6,B
PBPBBP,BBBPP,PPBPPP,5,P
BPBPPB,PPPPPBB,PPPPBB,7,B
PPPPBB,PPPPBB,PPPBBB,6,B
PPPPBB,PPPBB,BBBBPP,5,B
BPPPBB,BBBBPP,BBPPBB,6,P
PBPPBP,BBBBBBBPP,PBPBPP,9,P
PPBBBP,BBBBBBPP,PPBBPP,8,P
PPPBBP,BBBBPP,PPBBBP,6,P
BBPBBP,BBBBBPP,BBBBPB,7,P
PBBBBP,BBBBBPP,PPBBBP,7,P
PPPPPB,PPPPBB,BBPBBB,6,B
PBBBBP,BBBBBPP,BBBPPP,7,P
BBBBPP,BBBPP,PBBPPP,5,P
PPBBPP,BBBBPP,PPBBPP,6,P
BBPPBP,BBBPP,BPPBPB,5,P
PPBPBB,PPPPBB,PBBBBB,6,B
PPPBBP,BBBBBPP,BBPPPP,7,P
BPBPBP,BBBPP,PBBBBP,5,P
BBBPPP,BBBBPP,PBBPBB,6,P
BBPBBP,BBBBPP,BBBBPP,6,P
BBBBPP,BBBBPP,PPBBPB,6,P
BPBBPP,BBBBBBBPP,PBBPPP,9,P
PBBPBB,PPPPPPBB,BPBBPP,8,B
PPPBPP,BBBBPP,PPBPBB,6,P
BPBBPP,BBBPP,PPPPPB,5,P
PPPPPB,PPPBB,PBBBPP,5,B
PPPBBP,BBBPP,PPBBBB,5,P
PBBPBP,BBBPP,PBBPBB,5,P
PPPBBP,BBBBPP,BPPBPB,6,P
BBPBPB,PPPBB,PBBBPP,5,B
PPPBBP,BBBPP,PBBBPB,5,P
BPPPPB,PPPPPBB,BPBBBB,7,B
PBPPBP,BBBBBBPP,PBPBPP,8,P
BBPPBB,PPPPBB,BBBBBP,6,B
PPPPBB,BBBBBPP,PPBPBP,7,P
PBBBBP,BBBBBBPP,PPBBPP,8,P
PBBPPB,PPPPBB,BBBPPP,6,B
PPPPBB,BBBPP,PBBPPB,5,P
BBBPBB,PPPPBB,BBBBBP,6,B
PPPPBB,BBBBBPP,BPBBBB,7,P
BBPPBP,BBBBPP,BPPPPB,6,P
BBBPPB,PPPPBB,PBPPPP,6,B
BBPBPB,PPPPPPPPPBB,BPBPBB,11,B
BBBBBP,BBBPP,BPPPBP,5,P
PBPPPB,PPPPBB,BPPPPP,6,B
BPBPBP,BBBBPP,BBPBPB,6,P
BPBPBP,BBBPP,BPPPPP,5,P
BBBPPB,PPPPPPPPBB,BPBBBB,10,B
PBBPBP,BBBBBBBPP,BPPBBB,9,P
BPPBPP,BBBBBPP,PPPPPB,7,P
BBBPBB,PPPPPPPBB,PPPPPB,9,B
BPBPPB,PPPPPPPPPPPBB,PPPBBP,13,B
PPPPBB,PPPBB,PBPPBB,5,B
BBPPBP,BBBBPP,PPBBPB,6,P
PPBBPB,PPPBB,PPPBPP,5,B
PPPBPP,BBBBPP,BBBBBP,6,P
BBBBPP,BBBBBPP,BBPPPP,7,P
BPPBPB,PPPBB,PBPBPP,5,B
PPPPBP,BBBBBPP,BBBBPP,7,P
BBBBPP,BBBBPP,PPPPPB,6,P
BBBBPP,PPPPPBB,BBBPPP,7,B
