before,no_cut,after,length,structure
PBBBPP,PBPBPB,BBPBPP,6,PBP
PPBBPP,PBPBPB,BPPBPP,6,PBP
BBBPBB,BPBPBP,BBBBPB,6,BPB
PPPPPB,BPBPBP,BBPPPP,6,BPB
PPBPBB,BPBPBP,BBBPBP,6,BPB
BBBPBP,PBPBPB,BPPPPB,6,PBP
PBBBPP,PBPBPB,BBPPPB,6,PBP
BPBBPP,PBPBPBPB,BPBPBB,8,PBP
PPPPBB,BPBPBP,PPPBBB,6,BPB
PPPPBB,BPBPBP,PPPBBB,6,BPB
BBBBPB,BPBPBP,PBBPPB,6,BPB
BPPPBP,PBPBPBPB,PPBPBP,8,PBP
BPBPBP,PBPBPB,PPPBPP,6,PBP
PPPPPB,BPBPBP,PBBPPB,6,BPB
PPPPBP,PBPBPB,PPBBBP,6,PBP
PBPPBB,BPBPBP,PBPPPB,6,BPB
BPPBBB,BPBPBP,BBBPPB,6,BPB
PBPPPB,BPBPBP,PPBBBP,6,BPB
PPPBBP,PBPBPB,BPBBBP,6,PBP
PPPBBP,PBPBPB,BPBBBP,6,PBP
BBBPPP,PBPBPB,BBBBBB,6,PBP
PBPPPB,BPBPBP,PPPPBB,6,BPB
PBPPPB,BPBPBP,PPPPBB,6,BPB
PPPPBB,BPBPBP,BBBBPB,6,BPB
PPPPBB,BPBPBP,BBBBPB,6,BPB
BBBBBP,PBPBPB,BPPBBP,6,PBP
BPBBBP,PBPBPBPB,BBPPPB,8,PBP
PPBPPB,BPBPBPBP,BBBPBB,8,BPB
PPBBBB,BPBPBP,PBBPBB,6,BPB
PPBPPB,BPBPBP,BBBBPB,6,BPB
BPBBPP,PBPBPB,BPPBPB,6,PBP
PBPBBP,PBPBPB,PPBPPB,6,PBP
BBPBPB,BPBPBPBP,PBPBPB,8,BPB
BPBPBP,PBPBPB,BBBBPP,6,PBP
PBPPBB,BPBPBPBP,PBBBBB,8,BPB
PBBPBP,PBPBPB,PPBPBB,6,PBP
BBBPPB,BPBPBP,PBPPPB,6,BPB
BPBPBP,PBPBPB,BPPPBP,6,PBP
PPBBPP,PBPBPB,BPPBPP,6,PBP
BBBBPB,BPBPBP,PBBPPP,6,BPB
BBBBBB,BPBPBP,PBPPPB,6,BPB
BPPBPP,PBPBPB,PPBPPP,6,PBP
PPBPBP,PBPBPB,PPBPBP,6,PBP
BBBBBP,PBPBPB,BBPBBB,6,PBP
PPPBBB,BPBPBP,PBBBPB,6,BPB
PBBBBB,BPBPBP,BBPPBP,6,BPB
BPPBBB,BPBPBP,PPBBBP,6,BPB
BBPBBB,BPBPBPBP,BBPBPB,8,BPB
PBPBPB,BPBPBP,PBBBBP,6,BPB
BPPPBB,BPBPBP,PBPPPP,6,BPB
PPPPBP,PBPBPB,BBPBBB,6,PBP
PBBBPB,BPBPBPBP,PBBBPP,8,BPB
BPPPBP,PBPBPB,PPBPPP,6,PBP
BBPPBP,PBPBPB,PPBPPP,6,PBP
PPBBBB,BPBPBP,PPBPBB,6,BPB
BPBBPP,PBPBPB,PPPPBP,6,PBP
PPPPBB,BPBPBP,PPBPPP,6,BPB
BBBPBB,BPBPBP,PPBPBB,6,BPB
BBPBBP,PBPBPB,PPPPBP,6,PBP
BBPPPB,BPBPBP,PPBBBP,6,BPB
BBBPPP,PBPBPB,BBPPBB,6,PBP
BBBBBB,BPBPBP,BBPPPB,6,BPB
PBBPPB,BPBPBP,PPPBBB,6,BPB
BBBBBB,BPBPBPBP,BBBPBP,8,BPB
PPBBBP,PBPBPB,BPBPPP,6,PBP
PBBBPP,PBPBPB,PPBBPB,6,PBP
BPBPPB,BPBPBP,PBBBBP,6,BPB
BPBPBB,BPBPBP,PBPPBB,6,BPB
PPBBPB,BPBPBPBPBP,BBPBBP,10,BPB
PBBBPP,PBPBPB,BBBBPP,6,PBP
BBBPBP,PBPBPB,PPBBPB,6,PBP
BPPBBB,BPBPBPBPBP,PPBPPB,10,BPB
BPBPBB,BPBPBP,BBPBBP,6,BPB
PBBPPP,PBPBPB,BBPPBB,6,PBP
PPPBPB,BPBPBP,PPBPBP,6,BPB
PPBBPB,BPBPBP,PPBBBB,6,BPB
PPBBPB,BPBPBP,PPBBBB,6,BPB
PPPPBB,BPBPBP,PBBPPP,6,BPB
BBBPBB,BPBPBP,BBBPBB,6,BPB
PPPBBB,BPBPBP,BBPPBB,6,BPB
PPPBPP,PBPBPB,PPBBPP,6,PBP
BPPBPB,BPBPBPBP,BBBBBP,8,BPB
PBBBPP,PBPBPB,PPPBBP,6,PBP
PBPPBB,BPBPBP,PPPBPB,6,BPB
PPPBBB,BPBPBP,BBBPBP,6,BPB
BPBPBB,BPBPBP,BBPPBP,6,BPB
BBPPBP,PBPBPBPB,BBPPBB,8,PBP
BBPPBP,PBPBPB,BBPPPB,6,PBP
BPPPPP,PBPBPBPB,PPBPPB,8,PBP
BBPBPB,BPBPBP,BBPPBB,6,BPB
PBBBBP,PBPBPB,PPBPBB,6,PBP
PPBPPB,BPBPBPBP,PPPPPP,8,BPB
BPPPBP,PBPBPB,BBBBPB,6,PBP
PBBPPP,PBPBPB,PPPBPB,6,PBP
PPPBBB,BPBPBP,BBPPBB,6,BPB
PBBBBP,PBPBPB,PPPBBP,6,PBP
BPBBBB,BPBPBP,BBBBPB,6,BPB
PBPPBB,BPBPBP,BBBBPP,6,BPB
PBPBBP,PBPBPB,BPBBBB,6,PBP
PBPPBB,BPBPBP,BBBBPP,6,BPB
PBPBBP,PBPBPB,BPBBBB,6,PBP
PBBPPP,PBPBPB,BPBPBP,6,PBP
PBPBPB,BPBPBP,PPBBPP,6,BPB
PPBPPP,PBPBPBPB,PPBBBB,8,PBP
BBBBPB,BPBPBP,PBBBPP,6,BPB
BPBBBB,BPBPBP,PBPPBP,6,BPB
PBBBPP,PBPBPB,PPPBPP,6,PBP
BPPBBB,BPBPBP,PBBPPP,6,BPB
PPBPBP,PBPBPB,BPPBBP,6,PBP
PPPPBB,BPBPBPBPBP,BBPBPP,10,BPB
BBPBBB,BPBPBP,PBBPPB,6,BPB
PPBBPP,PBPBPB,BPPPPB,6,PBP
BBPBPB,BPBPBP,PPPPBB,6,BPB
PPPBBB,BPBPBP,BBPBPP,6,BPB
BBPPPP,PBPBPB,PPBBPB,6,PBP
BPBPBB,BPBPBPBP,BBPPPB,8,BPB
BBPBBB,BPBPBP,BBBBPB,6,BPB
PBPPPP,PBPBPB,BPPPPP,6,PBP
PBBPBB,BPBPBP,PBPPBB,6,BPB
PPBPBP,PBPBPB,BBBPBB,6,PBP
PPBPBP,PBPBPB,BBBPBB,6,PBP
PPBBBP,PBPBPBPB,BBBBBB,8,PBP
PBPPPP,PBPBPBPBPB,BPBPBB,10,PBP
PBBPBB,BPBPBPBP,PPPPPP,8,BPB
BPBBPB,BPBPBPBPBP,PBBBPP,10,BPB
BPPPPB,BPBPBP,BBPBBP,6,BPB
BPPBPB,BPBPBPBP,BBBBPP,8,BPB
PPPBBP,PBPBPB,PPBBPB,6,PBP
BBBBBB,BPBPBPBP,BBPPBP,8,BPB
PPBBPB,BPBPBP,PPPBPB,6,BPB
BBBPPB,BPBPBP,BBBPBP,6,BPB
BPBPBB,BPBPBP,BBBBPB,6,BPB
BBBBPB,BPBPBP,PBPBBB,6,BPB
PPBBPP,PBPBPB,PPBBBB,6,PBP
PBPBPP,PBPBPB,BBBPPP,6,PBP
BBPPBB,BPBPBP,PBPPBB,6,BPB
BPPPBB,BPBPBP,PPPPBB,6,BPB
PBPPPB,BPBPBPBPBP,PPPBBP,10,BPB
PPBPPB,BPBPBP,PBPPBB,6,BPB
BBBPBP,PBPBPBPB,BBBBBB,8,PBP
PPPBPB,BPBPBP,BBBBPB,6,BPB
PPPBPB,BPBPBP,BBBBPB,6,BPB
PPPBPB,BPBPBP,BBBBPB,6,BPB
PBBPBP,PBPBPB,BBBBBP,6,PBP
PBBPPP,PBPBPBPB,PPBBBP,8,PBP
BPPPPB,BPBPBP,PBBPPP,6,BPB
BPBBBB,BPBPBP,PPBPPB,6,BPB
PPBPBP,PBPBPBPB,BBPBPP,8,PBP
PBPBPP,PBPBPB,BBBBBP,6,PBP
BBBBBP,PBPBPB,BBPPBB,6,PBP
PPBBPP,PBPBPB,BPPBBP,6,PBP
BPPBPP,PBPBPB,BBBBBP,6,PBP
BPBBPP,PBPBPB,BBPBPP,6,PBP
BBPBPB,BPBPBP,BBPBPP,6,BPB
BBPBPB,BPBPBP,BBPBPP,6,BPB
BBPBPB,BPBPBP,BBPBPP,6,BPB
PBPBBP,PBPBPB,PPBPPP,6,PBP
BPPPPP,PBPBPBPB,PPBBBP,8,PBP
PBBPBB,BPBPBP,PPBPPB,6,BPB
PPPBPP,PBPBPB,BPBBPP,6,PBP
BPPPBP,PBPBPB,BBPPBB,6,PBP
PPPBPP,PBPBPB,BPPPBP,6,PBP
PPBBBB,BPBPBP,PPBBPB,6,BPB
PPBBBB,BPBPBP,PPBBPB,6,BPB
BPPBPB,BPBPBPBP,BBBBBB,8,BPB
BPPBPP,PBPBPBPB,BBPBBB,8,PBP
BBPBPB,BPBPBP,BBPPPP,6,BPB
BBBBPB,BPBPBP,BBBPPP,6,BPB
PPBBBB,BPBPBP,BBPBPB,6,BPB
PBPBBP,PBPBPB,BPPBBB,6,PBP
PPPBBB,BPBPBP,BBBPPP,6,BPB
BPBBBB,BPBPBP,PBPBPP,6,BPB
BPBBBB,BPBPBP,PBPBPP,6,BPB
PBPPPB,BPBPBPBP,PBPPPB,8,BPB
PPBPBP,PBPBPB,BBBPPP,6,PBP
BBPPBB,BPBPBP,PBBPPP,6,BPB
BBPBPB,BPBPBP,PPBBBB,6,BPB
BBPBBP,PBPBPB,PPBBBP,6,PBP
BPPBBB,BPBPBPBP,BBPPBB,8,BPB
PBBBBP,PBPBPB,PPPPPB,6,PBP
BPBBBP,PBPBPBPB,BBPPBB,8,PBP
BPBBBP,PBPBPBPB,BBPPBB,8,PBP
BBBPBP,PBPBPBPB,PPPPPB,8,PBP
PPPBPP,PBPBPB,BPBBPB,6,PBP
PPPBPP,PBPBPB,BPBBPB,6,PBP
PPPBPP,PBPBPB,BPBBPB,6,PBP
BBBBBB,BPBPBP,BBBBBB,6,BPB
BPPPPB,BPBPBP,PBBBBB,6,BPB
BBBBPP,PBPBPB,BBPBPP,6,PBP
BBPPPP,PBPBPB,BBBPPB,6,PBP
PBPBBP,PBPBPB,BBPBPP,6,PBP
BPPBBB,BPBPBP,PPBPPB,6,BPB
PPPBBB,BPBPBP,PBBBPP,6,BPB
PPBPBB,BPBPBP,PPBBBB,6,BPB
PPBPPP,PBPBPB,BPPPBB,6,PBP
PPPBPB,BPBPBP,PBBBPB,6,BPB
BBBBBP,PBPBPB,BBPBPP,6,PBP
BPPBBB,BPBPBPBPBP,BBBBBB,10,BPB
PPBBBP,PBPBPBPB,BBBBBB,8,PBP
BPBPPP,PBPBPB,BBBPBP,6,PBP
PBBPPP,PBPBPB,BPPBPB,6,PBP
BBBBBP,PBPBPB,BBPBBB,6,PBP
PBBPPP,PBPBPB,BPPBPB,6,PBP
BBBBBP,PBPBPB,BBPBBB,6,PBP
BPPPBB,BPBPBP,PPPPBP,6,BPB
BBPPBP,PBPBPBPB,PPPBPB,8,PBP
PBBBBP,PBPBPB,BBBBPP,6,PBP
PPBBBP,PBPBPB,BBPBBP,6,PBP
BBPBBP,PBPBPBPB,PPPPBB,8,PBP
PPBBBP,PBPBPBPB,PPBPPP,8,PBP
BBBBBB,BPBPBP,BBBPBB,6,BPB
BPBPPB,BPBPBPBP,BBPPBP,8,BPB
PPBBBP,PBPBPB,PPBBBP,6,PBP
BPPPPP,PBPBPB,BBBPBP,6,PBP
PBPBBB,BPBPBPBP,BBBPPB,8,BPB
BPBBBP,PBPBPBPB,BPBBPP,8,PBP
PPBBPP,PBPBPB,BBPPBP,6,PBP
BPPBPB,BPBPBP,PPBBBP,6,BPB
BBPPBP,PBPBPB,BPPPPB,6,PBP
PBPPPB,BPBPBP,PPBBBP,6,BPB
PPBPPB,BPBPBP,PBBPBP,6,BPB
BBPBBP,PBPBPB,BBPBPP,6,PBP
PBPPPB,BPBPBP,PPBBBP,6,BPB
PPBPPB,BPBPBP,PBBPBP,6,BPB
BBPBBP,PBPBPB,BBPBPP,6,PBP
BBPPBB,BPBPBPBP,PBPPPP,8,BPB
BBPPBB,BPBPBPBP,PBPPPP,8,BPB
BBPPBB,BPBPBPBP,PBPPPP,8,BPB
BPPBBP,PBPBPBPB,BBPBBB,8,PBP
BBPPBB,BPBPBPBP,PBPPPP,8,BPB
BPPPBB,BPBPBP,PBBBPB,6,BPB
PPBBBB,BPBPBPBP,PBBBPB,8,BPB
PPBPBB,BPBPBP,PBBBBP,6,BPB
PBBPBP,PBPBPB,PPBBBP,6,PBP
BPPPPB,BPBPBP,BBBPPB,6,BPB
BPPPPB,BPBPBP,BBBPPB,6,BPB
BPBBBB,BPBPBP,BBPBBP,6,BPB
BPPBPB,BPBPBP,PBPPBB,6,BPB
BBPBBP,PBPBPB,BPBBPP,6,PBP
PPPBPB,BPBPBPBP,BBPBPP,8,BPB
BBBPPB,BPBPBP,BBBPBB,6,BPB
BBBPPB,BPBPBP,BBBPBB,6,BPB
BBPBBP,PBPBPB,BBBPBB,6,PBP
PBPBBB,BPBPBP,PPBPBP,6,BPB
PBPBPP,PBPBPB,BPBPPB,6,PBP
BPBPPB,BPBPBPBP,PBPBBB,8,BPB
BBBBPP,PBPBPB,PPPPPP,6,PBP
PBBPPP,PBPBPBPBPB,PPBPBB,10,PBP
PPPBPP,PBPBPB,PPPBPP,6,PBP
PPPPBB,BPBPBPBP,PBBBPP,8,BPB
PBBBPP,PBPBPB,BBBPPB,6,PBP
BPBBPB,BPBPBP,PBBBPB,6,BPB
BPBPPB,BPBPBP,PPPPBP,6,BPB
PPBPPP,PBPBPB,BBBPPB,6,PBP
BBPPBP,PBPBPB,BBBBPP,6,PBP
BPPBPB,BPBPBP,PPBPPP,6,BPB
PBPBBB,BPBPBP,PBBBBP,6,BPB
PPPPPB,BPBPBP,BBPBBB,6,BPB
PBPPBP,PBPBPBPBPBPB,BBPPBP,12,PBP
PBPPBP,PBPBPBPBPBPB,BBPPBP,12,PBP
PPBBBP,PBPBPB,BPBBBP,6,PBP
BPBPBB,BPBPBPBP,BBPBBP,8,BPB
PBBBBB,BPBPBPBP,BBPPPB,8,BPB
PPBBPB,BPBPBPBP,PPBPPB,8,BPB
BPPBBP,PBPBPBPB,BBBPPP,8,PBP
BPBPPB,BPBPBP,PBBBBB,6,BPB
BBBPBP,PBPBPB,BBBPPB,6,PBP
BBBPPB,BPBPBPBP,PPBPPB,8,BPB
PBBBBP,PBPBPB,PPBPBP,6,PBP
PPPPPB,BPBPBP,PBPBBB,6,BPB
PPPPPB,BPBPBP,PBPBBB,6,BPB
PBBPPP,PBPBPB,BBPPBP,6,PBP
BPPBBP,PBPBPB,BPPPBP,6,PBP
PBBBBB,BPBPBP,PPBPBP,6,BPB
BBPBPP,PBPBPBPB,BBBPPB,8,PBP
BBBBPB,BPBPBP,BBPPPP,6,BPB
BPPBBP,PBPBPBPB,PPPPBP,8,PBP
PBBBPB,BPBPBP,BBBPBB,6,BPB
BPBPPB,BPBPBP,BBPBBP,6,BPB
BBBPPB,BPBPBP,BBBBPB,6,BPB
BBBBPB,BPBPBPBP,PPPPBB,8,BPB
BBPBPB,BPBPBP,PBBBBP,6,BPB
BPPBPB,BPBPBP,PPPBPB,6,BPB
BBBBBP,PBPBPB,PPPBBP,6,PBP
BBBPBP,PBPBPBPB,PPBBPP,8,PBP
PPPPBB,BPBPBPBPBP,PPBPBB,10,BPB
BBBPBB,BPBPBP,BBBPPP,6,BPB
PPBPPP,PBPBPB,BBPPPP,6,PBP
PPBPPP,PBPBPB,BBPPPP,6,PBP
PPPPPP,PBPBPBPBPBPB,BPBBBP,12,PBP
BPPBBB,BPBPBPBP,BBPPPP,8,BPB
BBPBPP,PBPBPB,PPPBBP,6,PBP
BPBPBB,BPBPBPBP,PPPPPB,8,BPB
BPBPBB,BPBPBPBPBP,PBPPPP,10,BPB
BBBPPB,BPBPBP,BBPPPB,6,BPB
PPBPBP,PBPBPBPBPB,PPBBBP,10,PBP
BPBPPP,PBPBPB,BBPBBB,6,PBP
BPPPBP,PBPBPBPB,BPPPBP,8,PBP
BBPBPP,PBPBPB,BBPPPP,6,PBP
PBBBPB,BPBPBP,PBPPBB,6,BPB
PPPBPB,BPBPBP,PBPBBB,6,BPB
BPPPPB,BPBPBP,PBPBBB,6,BPB
PBBBPP,PBPBPBPB,BPBPBP,8,PBP
PBPBPB,BPBPBP,BBPBPB,6,BPB
BPPPPB,BPBPBP,PBPBBB,6,BPB
PBBBPP,PBPBPBPB,BPBPBP,8,PBP
PBPBPB,BPBPBP,BBPBPB,6,BPB
BPPPPB,BPBPBP,PBPBBB,6,BPB
PBBBPP,PBPBPBPB,BPBPBP,8,PBP
PBPBPB,BPBPBP,BBPBPB,6,BPB
PPBPBP,PBPBPB,PPBBPP,6,PBP
BPPBPP,PBPBPB,BBPPBP,6,PBP
BBBPPP,PBPBPB,BPPPPB,6,PBP
BBBPPP,PBPBPB,BPPPPB,6,PBP
BBBPBB,BPBPBP,PBBBPP,6,BPB
PBPBBB,BPBPBP,PBBPPP,6,BPB
PPPPPP,PBPBPBPB,PPBPBP,8,PBP
BPBPBB,BPBPBP,BBBPBB,6,BPB
BBPBBB,BPBPBP,PPBPBB,6,BPB
BBBPBB,BPBPBP,PPPBPB,6,BPB
BPBBPP,PBPBPB,PPPPPB,6,PBP
BPBBBB,BPBPBP,BBPPBB,6,BPB
PPPPPB,BPBPBP,BBPBPB,6,BPB
PBPBPB,BPBPBPBP,PPPPBB,8,BPB
BBBBBP,PBPBPBPB,BPPBBP,8,PBP
BBPBBB,BPBPBP,PBBPBB,6,BPB
BPPBBB,BPBPBP,BBBBBP,6,BPB
BPPBBB,BPBPBP,BBBBBP,6,BPB
BPPPBB,BPBPBP,BBBBBP,6,BPB
BBBPBB,BPBPBP,BBPPPB,6,BPB
PPPBBB,BPBPBP,PBPBBB,6,BPB
PPPPPP,PBPBPB,PPPBBB,6,PBP
PPPPPP,PBPBPB,PPPBBB,6,PBP
BBPBPP,PBPBPB,BBBPBP,6,PBP
BPPBBB,BPBPBP,BBBPPP,6,BPB
BBPBPP,PBPBPB,BBBPBP,6,PBP
BPPBBB,BPBPBP,BBBPPP,6,BPB
PBPBBP,PBPBPB,BPPPPP,6,PBP
BBPPPP,PBPBPB,BBBBBP,6,PBP
PPPPBP,PBPBPB,BPBPBB,6,PBP
BBPBBP,PBPBPB,BPBBBB,6,PBP
BBPBBP,PBPBPB,BPBPBP,6,PBP
PBPBPB,BPBPBPBP,BBBPBP,8,BPB
BPBBBB,BPBPBPBPBPBP,PPPPPB,12,BPB
BPPPPP,PBPBPBPB,PPPPPP,8,PBP
PPPPPB,BPBPBP,PBPPBP,6,BPB
BPBBPB,BPBPBP,BBPBBB,6,BPB
PPBBPP,PBPBPB,BBPPBP,6,PBP
BBBPPP,PBPBPBPB,BPPPBP,8,PBP
BPBBPB,BPBPBP,BBPBBB,6,BPB
BPBBPB,BPBPBP,BBPBBB,6,BPB
PPPPPB,BPBPBPBP,PBPBBB,8,BPB
BBBPBP,PBPBPB,BPBBPP,6,PBP
PBPPPB,BPBPBP,PPPBPB,6,BPB
BPBPPP,PBPBPB,BBBPBB,6,PBP
PBBPBB,BPBPBPBP,BBPBPB,8,BPB
PBBPBB,BPBPBPBP,BBPBPB,8,BPB
BPBPBB,BPBPBP,PBPBPP,6,BPB
BPBPPP,PBPBPB,BPBBBB,6,PBP
PPPBBB,BPBPBP,PBBBPB,6,BPB
BBBPPB,BPBPBP,PPBBBP,6,BPB
PBPBBB,BPBPBP,BBPPPB,6,BPB
PBBPBP,PBPBPB,BBPPBP,6,PBP
PPPBPP,PBPBPBPB,BBPPPP,8,PBP
PPBBBP,PBPBPB,PPBPPP,6,PBP
PPBBPB,BPBPBP,BBBPBB,6,BPB
PBBBPB,BPBPBP,PBPPBB,6,BPB
BPPPPB,BPBPBP,PPPBPP,6,BPB
BPPBBB,BPBPBP,PBPBBB,6,BPB
PBBPBP,PBPBPBPB,BPPBPP,8,PBP
BBBPPP,PBPBPB,PPPPBB,6,PBP
PBBPPP,PBPBPB,BPBPPP,6,PBP
BPBBPP,PBPBPB,PPBBPB,6,PBP
BBPBBP,PBPBPBPB,BPPPPB,8,PBP
PPBPBB,BPBPBP,PPPBBP,6,BPB
PPPPBP,PBPBPB,BBBPPP,6,PBP
PBPBBB,BPBPBP,PPPBBP,6,BPB
PBPBBB,BPBPBP,PPPBBP,6,BPB
BBBBPP,PBPBPB,PPBBPP,6,PBP
PBBBPP,PBPBPB,PPBPBB,6,PBP
PBBBPP,PBPBPB,PPBPBB,6,PBP
PBBBPP,PBPBPB,PPBPBB,6,PBP
PBBPBB,BPBPBP,PBBBBB,6,BPB
BBPPBP,PBPBPBPBPB,BPBBBB,10,PBP
PPBBPP,PBPBPB,BBPPBP,6,PBP
BBPPPB,BPBPBP,PBBBPP,6,BPB
BPPPPB,BPBPBP,PBPBBP,6,BPB
BPPPPB,BPBPBP,PBPBBP,6,BPB
BBBPPP,PBPBPBPB,PPBPBB,8,PBP
BBBPPP,PBPBPBPB,PPBPBB,8,PBP
PPPPPB,BPBPBPBP,PBPPPP,8,BPB
BBBBBP,PBPBPB,BPBBPB,6,PBP
