before,pingpong_tikhu,after,repeat,length
BBBBBB,BBPPBBPPBBPP,BPPPPP,3,12
PPPPPP,PPBBPPBB,BPPPBP,2,8
BBBPBB,BBPPBBPP,PBBPPP,2,8
PPBPPP,PPBBPPBB,BPPPBP,2,8
BBBPPB,BBPPBBPPBBPP,PPPPBP,3,12
PPBBPP,PPBBPPBBPPBB,PPPBPP,3,12
BPPBBP,PPBBPPBB,PBBPBP,2,8
BPBBPP,PPBBPPBB,PBPPBB,2,8
PPPPBB,BBPPBBPP,PBBPPP,2,8
PBPBBB,BBPPBBPP,PBBBPB,2,8
BBPPPP,PPBBPPBB,BBBPBB,2,8
PPPBBB,BBPPBBPP,PBPPPB,2,8
PPBBPB,BBPPBBPP,PPBBPB,2,8
BPBPPB,PPBBPPBB,BBPPBP,2,8
PPBBBP,BBPPBBPP,BPPBPB,2,8
PBPBBB,BBPPBBPP,PPBBBP,2,8
PBBBPP,PPBBPPBB,BPPPBB,2,8
BBPBPP,PPBBPPBB,PBPBPB,2,8
PPPBPB,BBPPBBPP,PPBBPB,2,8
PPBPBP,BBPPBBPP,PBBPBB,2,8
PPBPBP,BBPPBBPP,PBBPBB,2,8
PPBPBP,BBPPBBPP,PBBPBB,2,8
BBPPPP,PPBBPPBB,PBBPPB,2,8
PPPBBP,BBPPBBPP,PPBPPP,2,8
PPBBPB,BBPPBBPP,PBPPBP,2,8
PPPBBP,BBPPBBPP,PPBPPP,2,8
PPBBPB,BBPPBBPP,PBPPBP,2,8
PPPBBP,BBPPBBPP,PPBPPP,2,8
PPBBPB,BBPPBBPP,PBPPBP,2,8
PBPPBB,BBPPBBPP,PPBPBB,2,8
PBPBBP,PPBBPPBB,BPBBPB,2,8
BBBBPB,PPBBPPBB,PPBPPP,2,8
BBBBPB,PPBBPPBB,PPBPPP,2,8
BBPPPB,BBPPBBPP,BPPPPP,2,8
PPPPBP,PPBBPPBB,BBBPBB,2,8
PBPPPP,PPBBPPBB,BBBBPB,2,8
BBBBBP,BBPPBBPP,PBBBPP,2,8
BPBPPB,BBPPBBPP,BPBBBP,2,8
PBPBPP,PPBBPPBB,PBPBBP,2,8
BPPPBP,BBPPBBPP,PBPPPB,2,8
BBPPPB,BBPPBBPP,PPPBBB,2,8
PPBBPB,PPBBPPBB,BBBPPB,2,8
PBPPPB,PPBBPPBB,BPBBBP,2,8
PBBBBB,BBPPBBPP,PBPPPB,2,8
BBBBPB,PPBBPPBB,PPPPPP,2,8
PBBPPB,PPBBPPBB,BBBPBP,2,8
PPBBPP,PPBBPPBB,PPBPBP,2,8
PPBBPP,PPBBPPBB,PPBPBP,2,8
PPBBPP,PPBBPPBB,BBBPPB,2,8
PPPBPB,PPBBPPBBPPBB,BBBPBB,3,12
PBPBBP,BBPPBBPPBBPPBBPP,BBBBBP,4,16
BBBBPP,PPBBPPBB,BBPPPB,2,8
BBPPPB,BBPPBBPP,PPBBPB,2,8
BPBBPP,PPBBPPBB,PBBBBP,2,8
BPBBBP,BBPPBBPP,PPPBBB,2,8
PPBBBB,BBPPBBPP,PPPPPP,2,8
PPBBBB,BBPPBBPP,PPPPPP,2,8
PBPBBB,BBPPBBPP,PPBBBP,2,8
PPPBPB,PPBBPPBB,BPPBPB,2,8
PPPPBP,PPBBPPBB,BBBBBB,2,8
PPPPBP,PPBBPPBB,BBBBBB,2,8
PBBPBB,BBPPBBPP,PPBBBP,2,8
BBBPBB,BBPPBBPP,BBBBBP,2,8
BPBPPB,BBPPBBPP,PBBPPP,2,8
BPBPPB,PPBBPPBB,BBPBBB,2,8
PPPPBP,PPBBPPBB,PBPPBB,2,8
BPPBPB,BBPPBBPP,BBBBBB,2,8
BBBBPP,PPBBPPBB,PPPPPP,2,8
BPPPPB,PPBBPPBB,BPPPBB,2,8
BBPBBB,BBPPBBPP,BBBBBB,2,8
BBPBPP,PPBBPPBB,BPPBBB,2,8
PPBBPB,BBPPBBPP,PPBBBB,2,8
PPBBBP,PPBBPPBB,BBBBBP,2,8
BPPBPP,PPBBPPBB,PPBPPP,2,8
PBPPPP,PPBBPPBB,BBPBBP,2,8
PBBPBP,PPBBPPBB,BBBBBB,2,8
BBPPBB,BBPPBBPP,PBPBPB,2,8
PPBBPP,PPBBPPBB,BPPPBB,2,8
PPPPPP,PPBBPPBB,BBBPBP,2,8
PPBBBB,BBPPBBPPBBPP,PPPPPP,3,12
PPPPBP,BBPPBBPP,PBPPPB,2,8
BPPPPB,BBPPBBPP,BBBPBP,2,8
PPBPPP,PPBBPPBB,PBBBBP,2,8
BBBBPP,PPBBPPBB,BBBPBP,2,8
BBBBPP,PPBBPPBB,BBBPBP,2,8
BBBBBB,BBPPBBPP,PBPBBB,2,8
BPBBPB,PPBBPPBB,BBBPBB,2,8
PBPPBB,BBPPBBPP,PBPBBP,2,8
PPBPBP,PPBBPPBB,BBPBPB,2,8
PPPPPB,PPBBPPBB,BPBBPP,2,8
PBBPBB,BBPPBBPP,PBBPPP,2,8
BBBPPP,PPBBPPBB,BPPBBB,2,8
PPBBBP,BBPPBBPP,PPPPBB,2,8
PBBBBB,BBPPBBPP,BBBBPP,2,8
BBPPBB,BBPPBBPP,BPPBPP,2,8
BBBBPB,BBPPBBPP,BBBPBB,2,8
PBBPPB,PPBBPPBB,PPPPPB,2,8
PBPPPP,PPBBPPBB,BPPPBB,2,8
PPBBPB,BBPPBBPP,BBBPPB,2,8
BBPPPP,PPBBPPBB,PBPPBB,2,8
BPBBBP,BBPPBBPP,PBBPBB,2,8
PBPPBP,BBPPBBPPBBPP,BPBBPP,3,12
PBBBBB,BBPPBBPP,BPPBPP,2,8
BBBBBB,BBPPBBPP,BBBPPB,2,8
BPPPPB,BBPPBBPP,BPPBBP,2,8
BBBPBB,BBPPBBPPBBPP,BBBPPB,3,12
BPPPPB,BBPPBBPP,PBBBBB,2,8
PPPBBP,BBPPBBPP,BPBBBP,2,8
BBBBBB,BBPPBBPP,BPPBBB,2,8
PPPBBP,PPBBPPBBPPBB,BPBPPB,3,12
BBBBBP,BBPPBBPP,PPBPPP,2,8
PPPPPB,BBPPBBPP,PPBPBB,2,8
BBPPBP,BBPPBBPP,BBBPBB,2,8
BPPPPB,BBPPBBPP,BPBPBB,2,8
PPBPBP,PPBBPPBB,BPPPPB,2,8
PBPPBB,BBPPBBPP,BBBPPP,2,8
BBBPPP,PPBBPPBB,PPPPPP,2,8
PBBBBP,PPBBPPBB,BPPPPB,2,8
PPPPPB,PPBBPPBB,PPPBBB,2,8
BPBBBP,BBPPBBPP,BPBBBB,2,8
PBPPPB,PPBBPPBB,BBBPPP,2,8
BPBBBP,PPBBPPBB,PPPPBP,2,8
BPPBBP,PPBBPPBB,PPPBBP,2,8
PBBBPP,PPBBPPBB,BBBPPP,2,8
PBBBPP,PPBBPPBB,BBBPPP,2,8
PPPPBB,BBPPBBPP,PBBPBP,2,8
PPPPBB,BBPPBBPPBBPP,PPPPBB,3,12
PPPPBB,BBPPBBPP,BPBBBP,2,8
PBPBBB,BBPPBBPP,PPPPPP,2,8
BPBPBP,PPBBPPBB,PPPBPP,2,8
BBPPBP,PPBBPPBB,PBPBPP,2,8
PPPPBP,BBPPBBPP,BPBBPP,2,8
BBPPBP,BBPPBBPP,PPBBPP,2,8
PBPBPB,PPBBPPBB,BBBPPP,2,8
PBBPPP,PPBBPPBB,PPPPPP,2,8
BBBPBP,PPBBPPBB,BPBBPB,2,8
BBBPBP,PPBBPPBB,BPBBPB,2,8
BBPPPB,BBPPBBPP,PPPBPP,2,8
BBBBBB,BBPPBBPP,BBBBPP,2,8
PBBBBP,PPBBPPBB,BPPPBB,2,8
BBPPPP,PPBBPPBB,BBBBBB,2,8
BBBPPB,PPBBPPBB,PPPPPB,2,8
BBBPBB,BBPPBBPP,PPBPBB,2,8
BPPBPB,BBPPBBPP,PPBPBP,2,8
BPPPPB,BBPPBBPP,BPPPBP,2,8
PBPPPB,PPBBPPBB,BPBBPP,2,8
PPPPBB,BBPPBBPPBBPP,PPBBPP,3,12
PPPBBP,BBPPBBPP,PPBBBB,2,8
PPPPBP,BBPPBBPP,PPBPBB,2,8
PBBPPP,PPBBPPBB,PBPPBB,2,8
BPBBPP,PPBBPPBB,BPBBPP,2,8
PPBPPB,BBPPBBPP,BPPPPP,2,8
PBPPBB,BBPPBBPP,PBPBPP,2,8
PPPPPB,BBPPBBPP,BBBPBB,2,8
BPPPBB,BBPPBBPP,BBBPPP,2,8
PPBPBB,BBPPBBPP,PBBBBB,2,8
PBBBPB,PPBBPPBB,PBPBPP,2,8
PBBBPP,PPBBPPBB,PBPBBB,2,8
BPBPPB,PPBBPPBB,BBPPBP,2,8
BBPPBB,BBPPBBPP,BPPBBB,2,8
BBBPPP,PPBBPPBB,BBPPPP,2,8
PBPPBP,PPBBPPBB,BBPBBB,2,8
BBBPPP,PPBBPPBB,BBBBPP,2,8
PBBBBP,BBPPBBPP,PBPBBB,2,8
BPPBPB,BBPPBBPP,PBBBPB,2,8
BBPPBB,BBPPBBPPBBPP,PBPBPP,3,12
BPPBBB,BBPPBBPP,PPBBBP,2,8
BPBBBB,BBPPBBPP,PBBBBP,2,8
PPPPBP,PPBBPPBB,PPBPPB,2,8
BPBBPB,PPBBPPBB,BPPBBP,2,8
PPPPBP,BBPPBBPP,PBPPBB,2,8
PBBBBP,BBPPBBPP,PBBPPP,2,8
PPPPPP,PPBBPPBB,BBBBPP,2,8
BPBPPB,PPBBPPBB,BPBBPP,2,8
PPBPBB,BBPPBBPP,PBBBBB,2,8
PBBBBP,PPBBPPBBPPBB,PPPBBP,3,12
BPBBBP,BBPPBBPP,PBPBBP,2,8
BPBBBP,BBPPBBPP,PBPBBP,2,8
BPPPBB,BBPPBBPP,PPPBBB,2,8
BPPPPB,PPBBPPBB,PBBPBB,2,8
PBBBPB,PPBBPPBB,BBPBBP,2,8
BBPBPP,PPBBPPBB,BBPBBB,2,8
BBBPBB,BBPPBBPP,BBBBBP,2,8
PPPBPB,BBPPBBPP,BBBPBB,2,8
PBBPBP,PPBBPPBBPPBB,PPPPPB,3,12
PPBBBP,BBPPBBPP,PBBBPP,2,8
BBPPPB,BBPPBBPPBBPP,BBBBPB,3,12
BBPPPP,PPBBPPBB,PPPPPB,2,8
PPPPBB,BBPPBBPP,PPBPPP,2,8
PPBBBB,BBPPBBPP,BBBBPP,2,8
PPBPPB,BBPPBBPP,PPPBPP,2,8
PBPPBP,PPBBPPBB,PPPBPB,2,8
BBPBBP,BBPPBBPP,PBPBBB,2,8
BBPBBP,BBPPBBPP,PBPBBB,2,8
BBPPPP,PPBBPPBB,BPPBBB,2,8
BPPBBB,BBPPBBPP,BPPPPB,2,8
BPPBBP,BBPPBBPP,PBBPBB,2,8
BBBBPP,PPBBPPBB,BBPBPB,2,8
PPPPPB,BBPPBBPP,BBBBBB,2,8
BBPPPP,PPBBPPBB,BBPBBB,2,8
BBPBPB,PPBBPPBB,BBPPBB,2,8
BBPPPP,PPBBPPBB,BBPBPB,2,8
BPBPBB,BBPPBBPP,BPPBBB,2,8
PBBPBP,PPBBPPBBPPBB,BPPPBB,3,12
PPPPBB,BBPPBBPP,PPPPBB,2,8
PPBBPB,BBPPBBPPBBPP,BPPPBP,3,12
BBBPPB,BBPPBBPP,BPPBPB,2,8
BPBPBP,BBPPBBPP,PPBBPB,2,8
PPPBBP,PPBBPPBB,BBPBBB,2,8
PPBPPP,PPBBPPBB,PPPBBB,2,8
BBBBBP,PPBBPPBBPPBB,BBPPBB,3,12
PBBPPB,PPBBPPBB,BPBBBB,2,8
PBPBBB,BBPPBBPP,PBBBPB,2,8
PBPPPB,PPBBPPBB,PBBPBB,2,8
BBPBPB,BBPPBBPP,BPPPBB,2,8
BPPPPB,PPBBPPBB,BPBBBB,2,8
BPBBBP,BBPPBBPP,PBBPPP,2,8
PPBPPP,PPBBPPBB,BBPBPB,2,8
BBBBBB,BBPPBBPP,BBBPBP,2,8
PPBPBB,BBPPBBPP,PBPPPP,2,8
BPBBBP,BBPPBBPP,BPPBBB,2,8
BBBPBB,BBPPBBPP,PBBPBP,2,8
PBPPPB,PPBBPPBB,BPPPPP,2,8
BBPBBP,PPBBPPBB,PBBPPB,2,8
BPBPPP,PPBBPPBB,PBBBPP,2,8
PBBBPP,PPBBPPBB,BBPBPP,2,8
PPPPPB,BBPPBBPP,BBBPBB,2,8
BPPBPP,PPBBPPBB,PBPPPP,2,8
BBBBPP,PPBBPPBB,PBBBBP,2,8
PPPBPB,BBPPBBPP,BBPBPP,2,8
BBPBPB,BBPPBBPP,PBBBPB,2,8
PPBPPB,BBPPBBPP,BBBBBP,2,8
PBBBBP,BBPPBBPP,PBPBBP,2,8
PPPPPB,BBPPBBPP,PPBPPB,2,8
BBPBPB,PPBBPPBB,PPBPBP,2,8
BPBBBB,BBPPBBPP,BPPPPB,2,8
PBPPBP,PPBBPPBB,BBBBPB,2,8
PBBPPB,PPBBPPBB,PBPPBB,2,8
BBPPPB,BBPPBBPP,PPPPPP,2,8
PBBBBP,BBPPBBPP,PBPPBP,2,8
BBBBPB,PPBBPPBB,BPPPPB,2,8
PPPBBP,PPBBPPBB,BPPPPB,2,8
BBPBPB,BBPPBBPP,BBBPPP,2,8
PPPPPB,PPBBPPBB,BBBBPB,2,8
PPPPBP,BBPPBBPP,PPPBBB,2,8
BPBPPB,BBPPBBPP,PBPBPP,2,8
BPPBPB,BBPPBBPP,PBBPBP,2,8
PBPPPB,BBPPBBPP,PPPPPB,2,8
PBBBPB,BBPPBBPP,BBPBBP,2,8
PPBPPP,PPBBPPBB,BBBPBP,2,8
PBBPPB,BBPPBBPP,PPPPBB,2,8
PPBBBB,BBPPBBPP,BBPBPP,2,8
PPPBPB,BBPPBBPP,PBPPPB,2,8
BBBPPP,PPBBPPBB,PBBBBB,2,8
PBBBBP,BBPPBBPP,BPBPBP,2,8
BBPBBP,PPBBPPBBPPBB,PBBBPP,3,12
PBPPPB,PPBBPPBB,BPPPBP,2,8
BBBBBB,BBPPBBPP,PBBPBP,2,8
BPPBBP,PPBBPPBB,BBBBBB,2,8
BBPBPP,PPBBPPBB,PBPPBP,2,8
PPPBBB,BBPPBBPP,PPPBBB,2,8
PBPBBP,PPBBPPBB,PPBPBB,2,8
BBPBBP,PPBBPPBB,PPPBPP,2,8
BPBPPP,PPBBPPBB,BBPBPB,2,8
PBPBPB,PPBBPPBB,BBBPBP,2,8
BBBBBP,PPBBPPBB,BBPPPP,2,8
BPBBPB,BBPPBBPP,PPPBPP,2,8
BBPPPP,PPBBPPBB,PBPBPP,2,8
PPBBBB,BBPPBBPPBBPP,PPBPBP,3,12
PPPPPP,PPBBPPBB,BBPPPB,2,8
BBPPBP,BBPPBBPP,PPPPBP,2,8
BPPPBB,BBPPBBPP,BPPBBB,2,8
BBBBBP,PPBBPPBB,BBPPBP,2,8
BPPPBB,BBPPBBPP,BBBPPP,2,8
PBBBPB,PPBBPPBB,BBBBBP,2,8
PBPBPB,BBPPBBPP,PBPPPB,2,8
BBBPPP,PPBBPPBB,BBBBBB,2,8
PPPBBP,PPBBPPBB,BBBPPB,2,8
BPPBPP,PPBBPPBB,BBBPPP,2,8
BPBBPP,PPBBPPBB,BBPPPB,2,8
BPPPBP,BBPPBBPP,BBBPPB,2,8
PPBBBB,BBPPBBPP,PPBPBP,2,8
BBPBBP,PPBBPPBB,BBPPBB,2,8
BBPPBB,BBPPBBPP,BBPBPB,2,8
BBBBBP,PPBBPPBB,BPBPBB,2,8
PBPBBB,BBPPBBPP,BBBBPP,2,8
BPPPPP,PPBBPPBB,BBPBPB,2,8
PBPBBP,PPBBPPBB,PBPBPP,2,8
PPBBBP,BBPPBBPP,PPBPPB,2,8
BBPPPB,PPBBPPBB,BBBBPP,2,8
BPPPBB,BBPPBBPP,BBBBPB,2,8
PPPPPB,PPBBPPBB,BPBBPB,2,8
BBPBBP,BBPPBBPP,PPBPBP,2,8
PBBBBB,BBPPBBPP,PPBBBP,2,8
BPBPBP,PPBBPPBB,BPPPPP,2,8
PPPPPB,PPBBPPBB,PPBPBP,2,8
PBPPPB,BBPPBBPP,PBBPBP,2,8
BBBBPP,PPBBPPBB,PBBBPP,2,8
BPPPBP,PPBBPPBB,PBBPPP,2,8
BPBBPP,PPBBPPBB,PPBPPB,2,8
PBBPPB,PPBBPPBB,BBPBPP,2,8
BPBBPB,PPBBPPBB,BPPPPP,2,8
BBBBBP,BBPPBBPP,PBBPPB,2,8
BBPBBP,BBPPBBPP,PPBBPP,2,8
PPBBPP,PPBBPPBBPPBB,PPPBBP,3,12
BPBBPB,PPBBPPBB,BBBPPP,2,8
PBPPBP,PPBBPPBB,BPPBPP,2,8
PBBPBB,BBPPBBPP,PPPBBB,2,8
PPBPPP,PPBBPPBB,BPPBPP,2,8
PPBPPB,PPBBPPBB,PBPBBB,2,8
PBPBPB,PPBBPPBB,PBBPBB,2,8
PPPPBP,PPBBPPBB,PBPPBP,2,8
PBPPPB,PPBBPPBB,PPPBBB,2,8
BPPBBB,BBPPBBPP,BPPBBP,2,8
PPPPPP,PPBBPPBB,BBPBBB,2,8
BBBPBP,BBPPBBPP,PBPPPB,2,8
PPBBPB,PPBBPPBB,BPPBBP,2,8
PPPPPB,BBPPBBPP,PBBPPP,2,8
PBPPPB,BBPPBBPP,PPBBPB,2,8
PBBPBP,BBPPBBPP,PBBBBP,2,8
BBPBBP,BBPPBBPP,PPPPPP,2,8
BBPBBP,BBPPBBPP,BPPBPP,2,8
BPBBBB,BBPPBBPPBBPP,PBBPBP,3,12
PBPBPB,PPBBPPBB,PBBBBP,2,8
BPBPPP,PPBBPPBB,BBPBPB,2,8
BPBPPB,BBPPBBPP,PBPBBP,2,8
BBPBBB,BBPPBBPP,BBBPPB,2,8
PBBBBB,BBPPBBPP,PBBBPB,2,8
BPPBPP,PPBBPPBB,BBPBBP,2,8
PBPPPB,PPBBPPBB,BPBPBP,2,8
PBPBBP,BBPPBBPP,BPBPBB,2,8
BPBBPB,PPBBPPBB,BPPBPB,2,8
PPBPBP,PPBBPPBB,BBPBPP,2,8
PPPPPP,PPBBPPBB,PBPBBP,2,8
BPPPBB,BBPPBBPP,BBPBPP,2,8
BPPPBB,BBPPBBPP,BBPBPP,2,8
BPBBPB,PPBBPPBB,PPPBPB,2,8
BPPPPB,PPBBPPBB,PBBPBP,2,8
PBPPPB,PPBBPPBB,PBPPPP,2,8
BPBPPP,PPBBPPBB,PBPBBP,2,8
BPBBBP,PPBBPPBB,PPBPBB,2,8
BPPBBP,PPBBPPBB,BBBBPP,2,8
BBBPBP,BBPPBBPP,BPPPBP,2,8
BBPBBP,BBPPBBPP,BPPPBP,2,8
BPPBBP,BBPPBBPP,PBBBPB,2,8
BPBBPB,PPBBPPBB,BPBBPB,2,8
PPBPBP,BBPPBBPP,PBBPBB,2,8
BPPPPB,BBPPBBPP,PPBBPP,2,8
BBPBBB,BBPPBBPP,PPPPBB,2,8
PPPPBP,BBPPBBPP,PPBPBB,2,8
BBPBBP,PPBBPPBB,PBPBPB,2,8
BBBBPB,PPBBPPBB,PBPBBB,2,8
PPBBPB,BBPPBBPP,BPBBBP,2,8
