before,chainok_13,after,pattern
PPBBPP,BPPPB,PPPBBP,1-3-1
PPBBPP,BPPPB,PPPBPB,1-3-1
PPPBPB,PBBBP,BPPBBB,1-3-1
BBBBBP,BPPPB,PPPBPB,1-3-1
BPPPBB,PPPBPPP,BBBPBB,3-1-3
BBPPBP,BPPPB,PPPBPB,1-3-1
PPPPPB,PBBBP,BBBBPP,1-3-1
PBBBBB,PBBBP,BPPPBB,1-3-1
PBBPBP,BPPPB,PPBPBP,1-3-1
BPPBPP,BPPPB,PPPBBP,1-3-1
PBBBPB,PBBBP,BBPBBB,1-3-1
BBBPBB,PBBBP,BBBPPB,1-3-1
BBPBPP,BPPPB,PBBBPB,1-3-1
PBPPPB,PBBBP,BPBBPP,1-3-1
BPPBBP,BPPPB,PBBPPB,1-3-1
BBBBPP,BPPPB,PBPPBB,1-3-1
PPBPBP,BPPPB,PBBBBP,1-3-1
BBPBPB,PBBBP,BBPBPB,1-3-1
BPPPPP,BPPPB,PBBPPP,1-3-1
PPBPPB,PBBBP,BPBBPB,1-3-1
BBPPBB,PPPBPPP,BPPBPB,3-1-3
BPBPBP,BPPPB,PBBBBB,1-3-1
PPBPPP,BPPPB,PPPBBP,1-3-1
PBBBPB,PBBBP,BBPPBB,1-3-1
BPBBBB,PBBBP,BPBBBB,1-3-1
PBBBBP,BPPPB,PBPBBP,1-3-1
BBPBPB,PBBBP,BPPPBB,1-3-1
BBBBPB,PBBBP,BPPPPB,1-3-1
PBPBPP,BPPPB,PBPPBP,1-3-1
BBPBPB,PBBBP,BBPBBP,1-3-1
BBPBPP,BPPPB,PBBBBB,1-3-1
BBBBBB,PPPBPPP,BPPPBB,3-1-3
PPBBBP,BPPPB,PBPPPB,1-3-1
BPPPBP,BPPPB,PBPPPP,1-3-1
BPPBBP,BPPPB,PBPPBP,1-3-1
BBPBPB,PBBBP,BBPBBP,1-3-1
BPBPBB,PBBBP,BBPBPB,1-3-1
PBPBPB,PBBBP,BBBBPB,1-3-1
PBPBPP,BBBPBBB,PBBPPB,3-1-3
BBPPBB,PBBBP,BBBBBB,1-3-1
BPBBBB,PBBBP,BBPBBB,1-3-1
PBPPPB,PBBBP,BPBPBB,1-3-1
BPBPBB,PBBBP,BPPPBP,1-3-1
BPBBBP,BPPPB,PPBBPB,1-3-1
BPPBPB,PBBBP,BBPPBB,1-3-1
BPBPPB,PBBBP,BBPPPP,1-3-1
PBBPPB,PBBBP,BBPBBB,1-3-1
BBBPBB,PBBBP,BPBBBB,1-3-1
BPPPBB,PBBBP,BPBPBP,1-3-1
BPBPPB,PBBBP,BPBPBP,1-3-1
PBPBBP,BPPPB,PPBBPP,1-3-1
BBBPPB,PBBBP,BPBBBB,1-3-1
BBBPPB,PBBBP,BPBBBB,1-3-1
PBPPPP,BPPPB,PBBBPB,1-3-1
PBPPPB,PBBBP,BPPPPB,1-3-1
PBPPPP,BPPPB,PBBBPB,1-3-1
PBPPPB,PBBBP,BPPPPB,1-3-1
PBBBPP,BBBPBBB,PBPPPB,3-1-3
BBPPBP,BPPPB,PBBBPP,1-3-1
BBPPBB,PPPBPPP,BBPBPP,3-1-3
BPPPPP,BPPPB,PBPBPB,1-3-1
BBBPBB,PBBBP,BBBPPP,1-3-1
BBPBBB,PPPBPPP,BPBPPB,3-1-3
PBPPBP,BPPPB,PPBPPP,1-3-1
BBPPPP,BPPPB,PPBBPB,1-3-1
PPBBPB,PBBBP,BPPBPP,1-3-1
BBPBPP,BPPPB,PPBBBP,1-3-1
PPBBBP,BPPPB,PPPPBB,1-3-1
PBPBBB,PPPBPPP,BPBPPB,3-1-3
BBBBPB,PBBBP,BPPPBP,1-3-1
BPBBBP,BPPPB,PPBBPB,1-3-1
PBBBBB,PBBBP,BPBBPB,1-3-1
PPPPPB,PBBBP,BBPBBP,1-3-1
BPBPBB,PBBBP,BPPPPB,1-3-1
BPBPBP,BPPPB,PPBBPB,1-3-1
BPBPBP,BPPPB,PPBBPB,1-3-1
BPBPPB,PBBBP,BPPPBB,1-3-1
PPBBPB,PBBBP,BBPBBB,1-3-1
BPPPBB,PPPBPPP,BBPBBB,3-1-3
BPPPBB,PBBBP,BBBBBP,1-3-1
BPBBPP,BPPPB,PBPPPP,1-3-1
BPPPPP,BPPPB,PBBBPB,1-3-1
PPBPPB,PBBBP,BPPPPP,1-3-1
BPPBBP,BPPPB,PPBBBB,1-3-1
BBBBPB,PBBBP,BPBPPP,1-3-1
PPBBBP,BPPPB,PBPBBB,1-3-1
BPBBBB,PBBBP,BBBBBP,1-3-1
PPBBPB,PBBBP,BBPPBB,1-3-1
PPBBPB,PBBBP,BBPPBB,1-3-1
PBPBPB,PBBBP,BPPPPB,1-3-1
PPBBBB,PBBBP,BPPPPP,1-3-1
BPPPBB,PBBBP,BBPPPP,1-3-1
PPPPPB,PBBBP,BPBPPP,1-3-1
PPPPPP,BPPPB,PPBBPP,1-3-1
BPPPPP,BPPPB,PPPBBP,1-3-1
PPPPBP,BPPPB,PPPPPP,1-3-1
PPPPPB,PBBBP,BPBPPB,1-3-1
PPBPPP,BBBPBBB,PPBBBP,3-1-3
PPBBBB,PBBBP,BPPBBP,1-3-1
BBBBPP,BPPPB,PBBPBP,1-3-1
BPBPPB,PBBBP,BBBPPP,1-3-1
BPPPBP,BPPPB,PPBPPB,1-3-1
BPBBBB,PBBBP,BBPPPP,1-3-1
BBPBPP,BPPPB,PBBPPB,1-3-1
PBBPPB,PBBBP,BPPBPB,1-3-1
PBBPPB,PBBBP,BPPBPB,1-3-1
BBBBPP,BPPPB,PBBPPB,1-3-1
PPPPBP,BPPPB,PBPBBB,1-3-1
PPPPPP,BPPPB,PBBPBB,1-3-1
PBBPBB,PBBBP,BBPPPP,1-3-1
BBPPPP,BPPPB,PPBPPB,1-3-1
BPBBBB,PBBBP,BBBPPP,1-3-1
BPBPBP,BPPPB,PBPPPP,1-3-1
BPPBBB,PPPBPPP,BBBPBP,3-1-3
PPBBPP,BPPPB,PBBPBB,1-3-1
PBBPPB,PBBBP,BPBPBB,1-3-1
BBPBBP,BPPPB,PPBBPB,1-3-1
PBBBBP,BPPPB,PBBBBB,1-3-1
PBBBBP,BPPPB,PBBBBB,1-3-1
BPBBBB,PBBBP,BBPPPB,1-3-1
BPPBPP,BPPPB,PBBPPP,1-3-1
PPPPPP,BBBPBBB,PPBBBP,3-1-3
BPPPBB,PBBBP,BPBPBP,1-3-1
PPBBPB,PBBBP,BPPBBP,1-3-1
PPBPPB,PBBBP,BPBBPP,1-3-1
BBPPPP,BBBPBBB,PPBBPP,3-1-3
BPBPBB,PBBBP,BPBPBP,1-3-1
BPBPBP,BPPPB,PPPBBP,1-3-1
BBPBPP,BPPPB,PPPPBB,1-3-1
PBPBPB,PBBBP,BBBPPB,1-3-1
PBBBPP,BBBPBBB,PPPBPB,3-1-3
PBBPBB,PPPBPPP,BPBPPP,3-1-3
PBPPBB,PBBBP,BBPBBB,1-3-1
PPPPPP,BPPPB,PPPPBB,1-3-1
PBBPBP,BPPPB,PPPBBB,1-3-1
PPPPPB,PBBBP,BPBBPP,1-3-1
BPBPBB,PBBBP,BPBBPP,1-3-1
BBBBPB,PBBBP,BPPBPB,1-3-1
PBPBPP,BBBPBBB,PBBBBP,3-1-3
PPPPBP,BPPPB,PPBBPB,1-3-1
BPPPBP,BPPPB,PBPBPP,1-3-1
PPPPPB,PBBBP,BBPPBB,1-3-1
PPBPPP,BBBPBBB,PPBPPB,3-1-3
PBBBPB,PBBBP,BBBBPB,1-3-1
PPBPPB,PBBBP,BBPBBP,1-3-1
PBBPPB,PBBBP,BBPBBP,1-3-1
BBPBBP,BPPPB,PPBPBP,1-3-1
PPBPBB,PBBBP,BPPPPB,1-3-1
PBBPBP,BPPPB,PPPBBP,1-3-1
PPBBPB,PBBBP,BPPBPP,1-3-1
PBBPBP,BPPPB,PPPBBP,1-3-1
PPBBPB,PBBBP,BPPBPP,1-3-1
PBBPPB,PBBBP,BPPBPB,1-3-1
BBBPPB,PBBBP,BPPBPB,1-3-1
PBPBBP,BPPPB,PBBBPP,1-3-1
BBPPBP,BPPPB,PBPBPP,1-3-1
BPPPPP,BPPPB,PBPPBP,1-3-1
BPPBPB,PBBBP,BBPPPP,1-3-1
PBPPBP,BPPPB,PPBBBB,1-3-1
BBPPBB,PBBBP,BPPPBP,1-3-1
BPBBBP,BPPPB,PPBBPB,1-3-1
PBPPBB,PBBBP,BPBBPP,1-3-1
BBBBBB,PBBBP,BPPPPB,1-3-1
BBPBPB,PBBBP,BPPBBB,1-3-1
BPBPBB,PBBBP,BPBBBP,1-3-1
PBBBPB,PBBBP,BBBPBP,1-3-1
BBPPPP,BPPPB,PPBPBP,1-3-1
BBPBPP,BPPPB,PBBPPP,1-3-1
BPPPPP,BPPPB,PBPBBP,1-3-1
PBBBBB,PBBBP,BPPBBP,1-3-1
PPBPPB,PBBBP,BBBPBB,1-3-1
BBPBPP,BPPPB,PBBBPB,1-3-1
PBPPPB,PBBBP,BPPBBB,1-3-1
BBBPBP,BPPPB,PPPBBB,1-3-1
PPPBPB,PBBBP,BPBPBP,1-3-1
BPBPBP,BPPPB,PPBPBB,1-3-1
BBPPPB,PBBBP,BPPPPB,1-3-1
PPBBPB,PBBBP,BBPBPB,1-3-1
PBBPBB,PPPBPPP,BPPPBP,3-1-3
PPBPPP,BPPPB,PBBBPP,1-3-1
PBBPBB,PPPBPPP,BPPPBP,3-1-3
PPBPPP,BPPPB,PBBBPP,1-3-1
PBBPBB,PPPBPPP,BPPPBP,3-1-3
PPBPPP,BPPPB,PBBBPP,1-3-1
PPPPBB,PBBBP,BPPBPB,1-3-1
PPPPBB,PBBBP,BPPBPB,1-3-1
PPPPBB,PBBBP,BPPBPB,1-3-1
PBPPPP,BBBPBBB,PBBPPB,3-1-3
BBBPBP,BPPPB,PPBPBP,1-3-1
BBPBBP,BPPPB,PBPPPP,1-3-1
PPBPBP,BPPPB,PBPPPP,1-3-1
BPPPPP,BPPPB,PBBBBB,1-3-1
BBPPBB,PBBBP,BBBBBP,1-3-1
BPBPBP,BPPPB,PPPBBB,1-3-1
PPPPBB,PBBBP,BBPBPB,1-3-1
BPPBBP,BPPPB,PBPPPP,1-3-1
BPBBPP,BPPPB,PBBBPB,1-3-1
PBPPPB,PBBBP,BBBBBB,1-3-1
BBBPPB,PBBBP,BPBPPP,1-3-1
BPPPBB,PBBBP,BPPPPB,1-3-1
BBBPBP,BPPPB,PBPBBP,1-3-1
BBPBPB,PBBBP,BBBBBP,1-3-1
PPPPPB,PBBBP,BBBPPP,1-3-1
PBBBPP,BPPPB,PPBPBB,1-3-1
BPBBBB,PBBBP,BPPPPB,1-3-1
PBBPPB,PBBBP,BPPBPP,1-3-1
PPBPBP,BPPPB,PBPBBP,1-3-1
PBBBPP,BPPPB,PBBBPP,1-3-1
PBPPBB,PBBBP,BPBPPP,1-3-1
BBBBPB,PBBBP,BBBBBB,1-3-1
PBPPBB,PBBBP,BPBPPP,1-3-1
BBBBPB,PBBBP,BBBBBB,1-3-1
PBPPBB,PBBBP,BPBPPP,1-3-1
BBBBPB,PBBBP,BBBBBB,1-3-1
PBPBBP,BPPPB,PPPBBP,1-3-1
BBBPPB,PBBBP,BBPPBB,1-3-1
PBPPBP,BPPPB,PPBBPP,1-3-1
PBPPBP,BPPPB,PPBBPP,1-3-1
PBBPBP,BPPPB,PPBPPB,1-3-1
BPPPBB,PBBBP,BPBPPB,1-3-1
PPBPBP,BPPPB,PBPBPB,1-3-1
PPBPPB,PBBBP,BPBPBP,1-3-1
BBBBPB,PBBBP,BPBPBB,1-3-1
BPBPPP,BBBPBBB,PBPBBB,3-1-3
BBPPBB,PBBBP,BBPBBP,1-3-1
PBBBBB,PBBBP,BBBBBB,1-3-1
PBPBPP,BPPPB,PPPPPB,1-3-1
BPBPBB,PBBBP,BBBBBB,1-3-1
BBBPBB,PBBBP,BBBBPB,1-3-1
PBPPPP,BPPPB,PBPBPB,1-3-1
PBBPBB,PBBBP,BBPPBP,1-3-1
BBPPPB,PBBBP,BPPPPB,1-3-1
PPPBPB,PBBBP,BBPPBP,1-3-1
BPBBPB,PBBBP,BBPBPP,1-3-1
BPPBBP,BPPPB,PBBBBB,1-3-1
PBBBPB,PBBBP,BPPPBP,1-3-1
BPBBBP,BPPPB,PPPPBP,1-3-1
PBBBPB,PBBBP,BPPPBP,1-3-1
BPBBBP,BPPPB,PPPPBP,1-3-1
PBPPBP,BPPPB,PBPPBP,1-3-1
PBBBPB,PBBBP,BPPPBB,1-3-1
PPBPBB,PPPBPPP,BPBBBP,3-1-3
PBPPPB,PBBBP,BPPBPB,1-3-1
PPPPPB,PBBBP,BPPPBB,1-3-1
PPBBBP,BPPPB,PPPPBB,1-3-1
PPPBBP,BPPPB,PBBPPP,1-3-1
BBPPBP,BPPPB,PPBPPP,1-3-1
PPPBPP,BPPPB,PBPPPP,1-3-1
PPPPBB,PBBBP,BBBPPB,1-3-1
PBBPPB,PBBBP,BBPPBP,1-3-1
PPBPBB,PBBBP,BBBBPP,1-3-1
PBBBBB,PBBBP,BBBPPB,1-3-1
BBBBPB,PBBBP,BBBPPP,1-3-1
BPPPBB,PBBBP,BBPBBB,1-3-1
PBBBBB,PBBBP,BPPBPB,1-3-1
PBBBPP,BPPPB,PPBBPB,1-3-1
PPPBPB,PBBBP,BPPBPP,1-3-1
PPBBBB,PBBBP,BPBBPB,1-3-1
PBBBBB,PBBBP,BPBBBB,1-3-1
PPBBPP,BPPPB,PBBPPB,1-3-1
PPPPBP,BPPPB,PBBBBP,1-3-1
BPBPBP,BPPPB,PPPBBP,1-3-1
BBBBPP,BPPPB,PBBPBB,1-3-1
PBPPPP,BPPPB,PBBPBB,1-3-1
BPBBBB,PBBBP,BBPBBP,1-3-1
PBPBPB,PBBBP,BPBPBP,1-3-1
PPBBPP,BPPPB,PBPBPB,1-3-1
BBBBBB,PBBBP,BPBBBP,1-3-1
PBBBPB,PBBBP,BPPPBB,1-3-1
PPBBPB,PBBBP,BPPBPB,1-3-1
BBPPPP,BPPPB,PPPBPB,1-3-1
PBPPBB,PPPBPPP,BBPPPB,3-1-3
BPPPPP,BPPPB,PBBBPP,1-3-1
BBBBPP,BPPPB,PPPBPP,1-3-1
PBPBPP,BPPPB,PBPPBB,1-3-1
BPPPPP,BPPPB,PBPPPP,1-3-1
PPBPBP,BPPPB,PPPBPB,1-3-1
PBPPBB,PBBBP,BBBBBB,1-3-1
BBPBBP,BPPPB,PBBPPB,1-3-1
BBBPBP,BPPPB,PPBPPP,1-3-1
PPPBPP,BPPPB,PPPPPP,1-3-1
BBPPBB,PBBBP,BBPBPB,1-3-1
BPBBPP,BPPPB,PPPPBB,1-3-1
BBPPBP,BPPPB,PBBBPB,1-3-1
PBPPPB,PBBBP,BPBBBP,1-3-1
BPPPBB,PBBBP,BPBPPP,1-3-1
PBBBBP,BPPPB,PBPPBB,1-3-1
PBPPBP,BPPPB,PBPBPP,1-3-1
BPBPPB,PBBBP,BBBBBP,1-3-1
PBPBPP,BPPPB,PBBPBB,1-3-1
BPBBPP,BPPPB,PBBBBB,1-3-1
PPPBPB,PBBBP,BBBBPB,1-3-1
PPPPBB,PBBBP,BBPBPP,1-3-1
PBBBBP,BPPPB,PPBPPB,1-3-1
PBBBPB,PBBBP,BBPBBP,1-3-1
BBBPPB,PBBBP,BPBBPB,1-3-1
BPPBPP,BPPPB,PPPBBP,1-3-1
PPBBPB,PBBBP,BPPBPB,1-3-1
PPBBPP,BBBPBBB,PPBBPP,3-1-3
PBPBBB,PPPBPPP,BPBPBP,3-1-3
BBPPPP,BBBPBBB,PPBPPB,3-1-3
PPPPBP,BPPPB,PPPBPP,1-3-1
BBPPBP,BPPPB,PPPPBP,1-3-1
PPPPBB,PPPBPPP,BBBPPP,3-1-3
BPPBPB,PBBBP,BBPPPB,1-3-1
BBBPBB,PPPBPPP,BPPPPP,3-1-3
BPPBPP,BPPPB,PBBPPB,1-3-1
PPBPBB,PBBBP,BPBBPB,1-3-1
BBBPBP,BPPPB,PPPPPB,1-3-1
PPBBBP,BPPPB,PBPBBP,1-3-1
BPBBBB,PBBBP,BPBBBP,1-3-1
BPPBBB,PPPBPPP,BBPPPB,3-1-3
PPBPPB,PBBBP,BPPPPB,1-3-1
PPPPPP,BPPPB,PBPBBP,1-3-1
PBBPPB,PBBBP,BPBPBP,1-3-1
BBPPBB,PPPBPPP,BBPPPB,3-1-3
PBPPPP,BPPPB,PPPBBB,1-3-1
BPPBPP,BPPPB,PPPBBB,1-3-1
BPPBPP,BPPPB,PPPBBB,1-3-1
BBPBPB,PBBBP,BPPBBB,1-3-1
PPPBBB,PPPBPPP,BPPPPP,3-1-3
BBBPBB,PBBBP,BBPPPP,1-3-1
BPBBBB,PPPBPPP,BPBPPB,3-1-3
BPBBPP,BPPPB,PPPBBB,1-3-1
BBBBPP,BPPPB,PPBBPP,1-3-1
BBBBPP,BPPPB,PPBBPP,1-3-1
BBPBPP,BBBPBBB,PBPBBB,3-1-3
BBBPBB,PBBBP,BBBPPP,1-3-1
BBPPBB,PBBBP,BPPPPB,1-3-1
BBBBBP,BPPPB,PBBBBP,1-3-1
PBBBPP,BPPPB,PBBPPB,1-3-1
BBPBPP,BPPPB,PPBPBP,1-3-1
PBBBPP,BBBPBBB,PPPPPP,3-1-3
PBBPBB,PBBBP,BPPPBB,1-3-1
PPPBBP,BPPPB,PBBBPP,1-3-1
PPBBPP,BBBPBBB,PPBBBP,3-1-3
BBPBBP,BPPPB,PBPBPB,1-3-1
BBBBBB,PPPBPPP,BPPBBB,3-1-3
BBBBPB,PBBBP,BPBBPP,1-3-1
BPBBPP,BBBPBBB,PBBPBB,3-1-3
PBPPBP,BPPPB,PBBPPB,1-3-1
BBBBBB,PBBBP,BBPBBP,1-3-1
BBPBPB,PBBBP,BBPBBB,1-3-1
PBBPBB,PBBBP,BBPPBB,1-3-1
BPPBBP,BPPPB,PPBBPP,1-3-1
BPPBBP,BPPPB,PPBBPP,1-3-1
BPBPBB,PBBBP,BBBBBP,1-3-1
BPBBPP,BPPPB,PBBBPP,1-3-1
BPBBPP,BPPPB,PBBBPP,1-3-1
BPBBPP,BPPPB,PBBBPP,1-3-1
BPBBPP,BPPPB,PBBBPP,1-3-1
BPBPBP,BPPPB,PPPPBP,1-3-1
PBPPPP,BBBPBBB,PBBPPB,3-1-3
BPBPBP,BPPPB,PPBBPP,1-3-1
BBPPBP,BPPPB,PPPBPP,1-3-1
BBBBPB,PBBBP,BPPPPB,1-3-1
BPPPPB,PBBBP,BBBBBP,1-3-1
PPBPBB,PBBBP,BPBBPP,1-3-1
PPBPPB,PBBBP,BBPPPB,1-3-1
BPPBPP,BBBPBBB,PBBBPB,3-1-3
BBPBBB,PBBBP,BBPBBP,1-3-1
PPBPBB,PPPBPPP,BPBBBP,3-1-3
BBBPPB,PBBBP,BBBBPB,1-3-1
BBPPPB,PBBBP,BPPPBP,1-3-1
BPBBBP,BPPPB,PPPBPB,1-3-1
PPPPPP,BPPPB,PBBPPB,1-3-1
PPBPBB,PBBBP,BBPBPP,1-3-1
BPBBPB,PBBBP,BBBBPP,1-3-1
PBBBBP,BPPPB,PPBBBP,1-3-1
PPPPBB,PBBBP,BBPBPP,1-3-1
BPBPBP,BPPPB,PBBBPP,1-3-1
BBBBBB,PPPBPPP,BBPBPP,3-1-3
BBPBPB,PBBBP,BPBPPP,1-3-1
BBBPBP,BPPPB,PPPBBP,1-3-1
PPPBPP,BBBPBBB,PPBBPP,3-1-3
PBBBPP,BBBPBBB,PPBPPP,3-1-3
BPPBPP,BBBPBBB,PPPBPB,3-1-3
BBBPPB,PBBBP,BPPPPP,1-3-1
BPPPPP,BPPPB,PBPPPB,1-3-1
PBPBPP,BPPPB,PBBBBP,1-3-1
BPPPBB,PBBBP,BBBPPB,1-3-1
BPPPBP,BPPPB,PBBBPB,1-3-1
PBPPPB,PBBBP,BBPPBB,1-3-1
PPPPPP,BPPPB,PBBBPB,1-3-1
PBPPPB,PBBBP,BBBBBP,1-3-1
PPBBPB,PBBBP,BBBPBP,1-3-1
PBBBBP,BPPPB,PBBPPB,1-3-1
BPPPBB,PBBBP,BBBBPP,1-3-1
BPPBPB,PBBBP,BPPBBP,1-3-1
PPBBPB,PBBBP,BPBBBB,1-3-1
BBBBBB,PBBBP,BPBPBP,1-3-1
PBPBPP,BPPPB,PBBBPB,1-3-1
PBPPPB,PBBBP,BBBBPB,1-3-1
PPBBPP,BBBPBBB,PBPPBP,3-1-3
BBBBPP,BPPPB,PBBPPP,1-3-1
BBBBBB,PBBBP,BBBBBB,1-3-1
BBPBPB,PBBBP,BBPBPB,1-3-1
PPBBPP,BPPPB,PBBPBB,1-3-1
PBPPPP,BBBPBBB,PBBPPB,3-1-3
BPPPPB,PBBBP,BBBPPP,1-3-1
PPPBBP,BPPPB,PPPPPB,1-3-1
PPBPBP,BPPPB,PPPPPP,1-3-1
PPBBPP,BPPPB,PBBPBB,1-3-1
BBPBBP,BPPPB,PPBBPB,1-3-1
BBBBPP,BPPPB,PBPBBB,1-3-1
BPBPPB,PBBBP,BPBPPP,1-3-1
BPPBPP,BBBPBBB,PBPBBP,3-1-3
PBBPBB,PBBBP,BPBPBP,1-3-1
BBBBBP,BPPPB,PPPBBB,1-3-1
BBPPBB,PBBBP,BBBBPP,1-3-1
PPPBPP,BPPPB,PPPBPP,1-3-1
