before,tuek_ku,after,length,repeat
BPBPBP,PPBBBBPPPPBB,PBBBBP,12,3
BPBPBP,PPBBBBPPPPBB,PBBBBP,12,3
BBPBPB,BBPPPPBBPPBB,BPBBPB,12,3
BBPBPB,BBPPPPBBPPBB,BPBBPB,12,3
BBPBPB,BBPPPPBBPPBB,BPBBPB,12,3
PBBBBB,BBPPBBPPBBPP,PBBBBP,12,3
PBBBBB,BBPPBBPPBBPP,PBBBBP,12,3
PPBBPB,PPBBPPBBPPBB,PBBPPB,12,3
PPPPBP,BBPPBBPPPPBB,PBPBPP,12,3
PPPPBP,BBPPBBPPPPBB,PBPBPP,12,3
PPBPBP,PPBBPPBBPPBB,BPBPPB,12,3
PBBPPP,BBPPPPBBPPBB,BPBBPB,12,3
BBPPBP,PPBBBBPPBBPP,PBBBPP,12,3
BBBBBP,BBPPBBPPPPBB,PBBPPP,12,3
PBPBBB,BBPPBBPPBBPP,PPPBBB,12,3
PBPBPB,PPBBBBPPPPBB,PPBPPP,12,3
PBPBPB,PPBBBBPPPPBB,PPBPPP,12,3
BBBPBP,BBPPBBPPPPBB,PPPPBP,12,3
BBBPBP,BBPPBBPPPPBB,PPPPBP,12,3
PPBPBP,BBPPPPBBBBPP,PPBPPP,12,3
PPPBBB,PPBBPPBBPPBB,BBBPBP,12,3
BBPPBP,PPBBPPBBPPBB,BPBPPB,12,3
BPBPBP,PPBBBBPPPPBB,PPBPPP,12,3
BBBPBP,PPBBPPBBBBPP,BBBBBP,12,3
BBBPBB,BBPPPPBBPPBB,BPBPPP,12,3
PPBBBP,PPBBPPBBBBPP,BBBBPB,12,3
PPPBBP,BBPPBBPPPPBB,PBBBPP,12,3
PBPBPB,PPBBPPBBBBPP,BBBBBP,12,3
PPBBBP,BBPPBBPPBBPP,BPPPPB,12,3
PPBBBP,BBPPBBPPBBPP,BPPPPB,12,3
PPBPPP,PPBBPPBBBBPP,BPPPPP,12,3
BPPPBP,BBPPPPBBPPBB,PBBPPP,12,3
BBBBBP,BBPPBBPPPPBB,BPBPPB,12,3
BBBBBP,BBPPBBPPPPBB,BPBPPB,12,3
BBBBBB,BBPPPPBBBBPP,BPBBBP,12,3
PPPBBB,PPBBPPBBPPBBPPBB,BPBPPP,16,4
PPBBBP,BBPPPPBBBBPP,PBBPBP,12,3
BBPPBP,PPBBPPBBBBPP,BPPPBP,12,3
PPBPBB,BBPPPPBBBBPP,PPPPBB,12,3
BPPPPP,PPBBPPBBPPBB,PPPPBB,12,3
BPPPPP,PPBBPPBBPPBB,PPPPBB,12,3
BPPPPP,PPBBPPBBPPBB,PPPPBB,12,3
PBPBPB,PPBBBBPPPPBB,BPBBBB,12,3
PBPBPB,PPBBBBPPPPBB,BPBBBB,12,3
PBPBPB,PPBBBBPPPPBB,BPBBBB,12,3
BPBBBB,BBPPPPBBBBPP,BPBBPP,12,3
PPBBBP,BBPPBBPPBBPP,BBBPBP,12,3
BPPBPP,PPBBPPBBPPBB,PBBBPB,12,3
BBBPPP,PPBBBBPPBBPP,PBBBPP,12,3
BBBPPP,PPBBBBPPBBPP,PBBBPP,12,3
PPPBPP,PPBBPPBBBBPP,PPPBBB,12,3
PBPBPP,PPBBBBPPBBPP,BBBPPP,12,3
PBPBPP,PPBBBBPPBBPP,BBBPPP,12,3
BBPBPB,BBPPPPBBBBPP,PPPPPB,12,3
BBPBPB,BBPPPPBBBBPP,PPPPPB,12,3
BPBPBB,BBPPPPBBBBPP,PBBPPB,12,3
BBBPPB,PPBBPPBBBBPP,BBPBBP,12,3
BBPPPP,PPBBPPBBBBPP,BBBPPB,12,3
PBBPPB,BBPPBBPPBBPP,BPPPBP,12,3
PPBPBP,BBPPPPBBPPBBBBPP,BBBBPP,16,4
PPBPBP,BBPPPPBBPPBBBBPP,BBBBPP,16,4
BBBPPP,BBPPPPBBBBPP,BPPBPB,12,3
PBPPPB,PPBBBBPPPPBB,PPPPPB,12,3
PBPPPB,PPBBBBPPPPBB,PPPPPB,12,3
PBPPBP,BBPPBBPPPPBB,BPBPBB,12,3
BBPPPB,BBPPPPBBBBPP,BBBPPB,12,3
PBBBPB,PPBBPPBBBBPP,BPPPBB,12,3
BBPBPB,PPBBBBPPBBPP,PBBPPB,12,3
PBBPPB,BBPPPPBBBBPPBBPP,BBBBBB,16,4
PBBBBB,BBPPBBPPPPBB,BPBBBB,12,3
PBBBBB,BBPPBBPPPPBB,BPBBBB,12,3
BPBPPB,PPBBBBPPPPBB,PBBPBP,12,3
BPPBPB,PPBBPPBBPPBBBBPP,PBPBBB,16,4
BBBBBB,BBPPBBPPPPBBBBPP,BBBBPB,16,4
PBPBBP,BBPPBBPPBBPP,BPBPBB,12,3
BPBPBP,PPBBBBPPPPBB,BPPBBB,12,3
BPBPBP,PPBBBBPPPPBB,BPPBBB,12,3
BPPBBB,BBPPBBPPPPBB,BPBPBP,12,3
PPPPBP,BBPPPPBBBBPP,PBBPPB,12,3
BBBPBP,BBPPPPBBPPBB,BPBBBB,12,3
BBBBBB,BBPPBBPPPPBBPPBB,PBPPBB,16,4
PPPBPP,PPBBBBPPBBPP,BPPPPP,12,3
PPPBPP,PPBBBBPPBBPP,BPPPPP,12,3
PPPBPP,PPBBBBPPBBPP,BPPPPP,12,3
PPPBPP,PPBBBBPPBBPP,BPPPPP,12,3
BBBBBP,BBPPPPBBBBPP,PPPPBP,12,3
PBBPPB,PPBBPPBBBBPP,BPPPPB,12,3
PBBPPB,PPBBPPBBBBPP,BPPPPB,12,3
PBPPPP,PPBBBBPPPPBBPPBB,PPPPPP,16,4
PBBPBB,BBPPBBPPBBPP,PBBPPB,12,3
PPPPBP,PPBBBBPPBBPP,PBBBBP,12,3
PBPPBP,PPBBBBPPPPBB,BPPBBP,12,3
BBBPPB,BBPPBBPPPPBBPPBB,BPBBPB,16,4
PBPBBP,BBPPPPBBBBPP,PBBBPP,12,3
BBBPPB,BBPPPPBBBBPP,BPBPPB,12,3
PPPBBP,BBPPPPBBBBPP,PBPPPP,12,3
BBPPBB,BBPPBBPPPPBB,BBPBPP,12,3
PBPPBP,PPBBBBPPBBPP,PPPBPP,12,3
BBPPPB,PPBBPPBBPPBB,PBBPPB,12,3
BPPBPB,BBPPPPBBPPBB,PBPBPB,12,3
BBPPPB,PPBBBBPPBBPPPPBBBBPPBBPP,PBPPBP,24,6
PPPPPP,PPBBPPBBPPBB,PPPPBP,12,3
PPBBBP,BBPPPPBBPPBBPPBB,BPPBBB,16,4
PBBPBB,BBPPPPBBPPBB,BPBBPB,12,3
PPPPBP,PPBBBBPPBBPP,BPPPPB,12,3
BPBPBP,BBPPBBPPPPBB,BBPBPP,12,3
BBPBBP,BBPPBBPPPPBBPPBB,BBPBPB,16,4
BBPPBP,BBPPBBPPBBPP,BBPBBP,12,3
PBPBPB,PPBBPPBBPPBBBBPPPPBB,BBBBPP,20,5
PBBPPB,BBPPPPBBBBPP,PPPBPP,12,3
PBPBPB,PPBBPPBBPPBB,BPBPPB,12,3
PBPBPP,PPBBBBPPPPBB,PPPPBB,12,3
PBPPBP,BBPPPPBBBBPP,BPPBBP,12,3
PPPPPP,PPBBPPBBPPBB,BBBPPP,12,3
PBPBPP,PPBBBBPPBBPP,BBBBPB,12,3
PBPPBP,PPBBPPBBBBPP,PBBBBP,12,3
BPBPBB,BBPPPPBBPPBB,PBPPPP,12,3
PBPBBB,BBPPBBPPBBPP,BBPBPP,12,3
BBPBBB,BBPPBBPPPPBB,PPBPBB,12,3
PBBPPP,PPBBPPBBBBPP,BPPPPB,12,3
BPBPPB,PPBBPPBBPPBB,BPPPPP,12,3
PBPPPP,PPBBPPBBPPBB,PPPBPP,12,3
PPPBPP,PPBBPPBBBBPP,PPBPPB,12,3
PBBPBP,PPBBPPBBPPBB,PBBPPP,12,3
BPBPBP,BBPPBBPPPPBB,BPPBPP,12,3
PBBPBB,BBPPPPBBBBPPBBPP,PBBBBP,16,4
PBBPPP,PPBBBBPPBBPPBBPP,BPPBPB,16,4
BPBBPB,BBPPPPBBBBPP,PBPBPB,12,3
BPPPPP,PPBBBBPPPPBB,BPBBBB,12,3
BBPPPB,PPBBBBPPBBPP,PBBPPB,12,3
BPBPBP,PPBBBBPPPPBB,PPPBPP,12,3
BBPBBP,BBPPBBPPBBPP,PBPBBP,12,3
BBPPBP,PPBBBBPPPPBBBBPP,PBBBBP,16,4
PBPBPP,PPBBBBPPPPBBBBPP,BBBBPB,16,4
PBPPPB,PPBBBBPPPPBB,PBPPBP,12,3
PBPBPB,PPBBPPBBBBPP,PPBPBP,12,3
PPPBBP,BBPPBBPPPPBB,BPPPBB,12,3
BBBPPP,BBPPBBPPPPBB,BBBPPP,12,3
PPPBPP,PPBBBBPPPPBB,PBPPPP,12,3
BPBBBP,BBPPPPBBBBPP,BBPBBP,12,3
BBPBPB,BBPPPPBBPPBB,PBBBPB,12,3
PPPPPB,PPBBBBPPBBPP,BPBPBB,12,3
BPPPBP,PPBBPPBBPPBB,BBPBBB,12,3
BPPBPP,PPBBPPBBBBPP,PBPPPB,12,3
BPBPPP,PPBBPPBBPPBB,PPPBPB,12,3
PPPPPP,PPBBBBPPPPBB,BBBBPP,12,3
PPPPBP,PPBBPPBBPPBB,PPPBBB,12,3
PBPBPB,BBPPBBPPPPBB,PPPPBP,12,3
PBPBPB,BBPPBBPPPPBB,PPPPBP,12,3
BBBPBP,PPBBPPBBBBPPBBPP,BBBPPP,16,4
PBBPPB,PPBBBBPPBBPP,BBPBBB,12,3
PBBPPB,PPBBBBPPBBPPPPBB,PPPPPB,16,4
BBBBPB,PPBBPPBBBBPP,BPPPBB,12,3
BBPBBB,BBPPBBPPBBPPBBPP,BBPBBB,16,4
PBBPBP,PPBBBBPPBBPP,PPPPPP,12,3
PPPPPP,PPBBPPBBBBPP,BPPBPB,12,3
BBBBBB,BBPPBBPPBBPP,BBBPPP,12,3
PPPPBP,BBPPPPBBBBPP,PBBBPP,12,3
BBBPBP,BBPPBBPPBBPP,PPPBBB,12,3
BPBBPB,PPBBPPBBPPBB,BPBPBP,12,3
PBBPPB,PPBBBBPPPPBB,PBPBPB,12,3
BBBBBP,BBPPPPBBBBPP,PBPBBB,12,3
BPBPBP,BBPPPPBBBBPP,BPBBBP,12,3
PPBBPB,PPBBPPBBPPBB,BBPBPB,12,3
BPPBPB,BBPPBBPPPPBB,PPPBPP,12,3
PBBPBB,BBPPPPBBBBPP,PBBPBB,12,3
BBBBPB,BBPPPPBBPPBB,PBBPPB,12,3
PPBBBP,PPBBBBPPBBPP,BBPBBB,12,3
BPPBPP,PPBBPPBBPPBB,PBBBBP,12,3
BPPBPB,BBPPPPBBPPBB,BBBPBP,12,3
PBPBPB,PPBBBBPPPPBBPPBB,BPBBBB,16,4
PBBBPB,BBPPBBPPBBPP,BPPBPB,12,3
PPPBPB,BBPPBBPPBBPP,PBBBBB,12,3
BPPBBP,PPBBPPBBPPBB,BPBPPP,12,3
PPBBBB,BBPPPPBBBBPP,PBBBBP,12,3
PPBPPP,PPBBPPBBPPBB,BPBPPP,12,3
PPPPBP,PPBBPPBBBBPP,PBBBPP,12,3
BPPBBB,BBPPBBPPBBPP,BPBPPP,12,3
PBBPBP,PPBBBBPPBBPPBBPP,PPPPPB,16,4
BBPBPB,BBPPBBPPPPBB,BPBPBB,12,3
BBPBBB,BBPPBBPPPPBBPPBB,PPPPBP,16,4
BPBBPB,BBPPBBPPPPBB,PBPBBP,12,3
BPPBBP,BBPPPPBBPPBB,BBBPBB,12,3
PBBPBB,BBPPPPBBBBPP,BPBBBP,12,3
PBBPBB,BBPPPPBBBBPP,BPBBBP,12,3
BPBPPB,PPBBPPBBBBPP,BBBBPP,12,3
PPPBBB,PPBBPPBBPPBB,PPPPBB,12,3
BBBPPB,BBPPBBPPBBPPBBPPBBPP,BBPBPB,20,5
BBBPPB,BBPPBBPPBBPPBBPPBBPP,BBPBPB,20,5
PPPBBB,BBPPPPBBBBPPBBPP,PBBPPB,16,4
BPBBBP,BBPPPPBBBBPP,BBBBBP,12,3
BPPBPB,PPBBBBPPPPBB,BBBPBB,12,3
PPBBBP,BBPPBBPPPPBB,BBBPPB,12,3
BBBPPB,PPBBPPBBBBPP,PBPPBP,12,3
BBBBPB,BBPPBBPPBBPP,PPPBPB,12,3
PBBPBB,BBPPBBPPPPBB,BPBBBB,12,3
BBPBPB,PPBBPPBBBBPP,PBBBPP,12,3
PPBPBP,PPBBBBPPBBPP,BBPBBB,12,3
PPBPBP,PPBBBBPPBBPP,BBPBBB,12,3
BBPPPB,BBPPPPBBPPBB,BPBBPP,12,3
BPBPPB,PPBBBBPPPPBB,BPBPBB,12,3
BPPBBB,BBPPBBPPPPBB,BPBBPP,12,3
PBPBPB,PPBBBBPPBBPP,PPPBPP,12,3
BBPPPB,BBPPPPBBPPBB,PBPBPB,12,3
PPPPBP,PPBBPPBBBBPP,PBBBPB,12,3
BBBPPB,BBPPBBPPBBPP,PPPBBB,12,3
PBBBPB,BBPPBBPPBBPPBBPP,BPPBPP,16,4
PPBBBP,BBPPPPBBPPBB,BPPBPB,12,3
PPBBBP,BBPPPPBBPPBB,BPPBPB,12,3
BPBBPB,BBPPPPBBPPBB,BPPPBB,12,3
BPPPBP,PPBBBBPPBBPP,BBBPPP,12,3
PPBPPP,PPBBPPBBPPBB,PPPBPB,12,3
PPPBBB,BBPPBBPPBBPP,PBPPBP,12,3
PPPBBB,BBPPBBPPBBPP,PBPPBP,12,3
PPPBPB,PPBBPPBBBBPP,BPPBBP,12,3
BPPBBP,PPBBPPBBBBPP,PPPPBP,12,3
BBPPPB,PPBBPPBBBBPP,BPBBBB,12,3
PBPBBB,BBPPPPBBBBPP,PPPBPB,12,3
BBBPBP,PPBBBBPPPPBB,BBPBPP,12,3
BPBPBP,PPBBPPBBPPBB,BBBBPB,12,3
BBPPPB,BBPPPPBBPPBB,PBPBPB,12,3
BPPBPP,PPBBBBPPBBPP,PBBPBP,12,3
BBPBBB,BBPPPPBBBBPP,PBPBBB,12,3
PPPPBP,PPBBPPBBBBPP,BPPPPB,12,3
PBBPPP,BBPPPPBBPPBB,PBPPPP,12,3
PPPPPB,PPBBPPBBPPBB,PBBBPB,12,3
BBBPBP,PPBBPPBBBBPP,PBBPPP,12,3
BPPPBP,PPBBPPBBBBPP,BPPBPB,12,3
PBBBPB,BBPPPPBBPPBB,PBPBBB,12,3
BBPBBB,BBPPBBPPBBPP,PPPBPB,12,3
BPPBPB,PPBBBBPPBBPP,BBPBPP,12,3
PBBPPB,PPBBBBPPBBPP,BPBPPP,12,3
BPPBBP,PPBBPPBBPPBB,PBPBPP,12,3
BPPBPP,PPBBBBPPPPBB,PPPPBB,12,3
BPPBPP,PPBBBBPPPPBB,PPPPBB,12,3
PBBBBB,BBPPBBPPPPBB,PPPPBP,12,3
PPBBBP,PPBBBBPPBBPP,PBPBPP,12,3
BBBPBB,BBPPBBPPBBPPBBPPBBPP,PPPPBP,20,5
BBPPBP,PPBBBBPPPPBB,PPPPBP,12,3
BPPPBP,BBPPBBPPPPBB,BPBBPB,12,3
BPBPPP,PPBBBBPPPPBB,PPPBBB,12,3
BPBPPP,PPBBBBPPPPBB,PPPBBB,12,3
PPBBPB,BBPPBBPPBBPP,PBBBPP,12,3
BPBPBP,BBPPBBPPPPBB,BBBBPP,12,3
PBPPBP,PPBBBBPPPPBB,BPPBBP,12,3
BBPPBP,BBPPPPBBPPBB,PPPPBB,12,3
PBBBBB,BBPPBBPPBBPP,BBPBBP,12,3
PBBPBP,PPBBPPBBPPBBBBPP,BBPBBP,16,4
BPPBPP,PPBBPPBBBBPP,PBBBBP,12,3
BBPPPB,PPBBBBPPBBPPPPBB,BPPBPP,16,4
BBPPPB,PPBBBBPPBBPPPPBB,BPPBPP,16,4
BBPPBP,BBPPBBPPPPBBBBPP,BBBBPP,16,4
BPPBBB,PPBBBBPPPPBB,PPPPPP,12,3
PBBPPP,BBPPPPBBBBPP,BPBBBB,12,3
BBPPPB,PPBBPPBBPPBB,BPPBBB,12,3
BPPBBP,BBPPBBPPBBPP,BPBPBP,12,3
BBPBPB,BBPPPPBBBBPP,PPPPPP,12,3
BPBPBP,BBPPPPBBPPBB,BBBBPB,12,3
BBPBPP,PPBBPPBBBBPP,PBBPPP,12,3
PPBPBP,BBPPPPBBPPBB,PPPBPP,12,3
PPBPBP,BBPPPPBBPPBB,PPPBPP,12,3
PPBPBB,BBPPBBPPPPBB,BBPBBB,12,3
BPBPPP,PPBBPPBBBBPP,BPPBBB,12,3
PPPPPP,PPBBBBPPPPBBBBPP,BBPBBP,16,4
BPBBPB,BBPPPPBBBBPP,PBBBBP,12,3
PPBBBP,PPBBPPBBPPBB,BBPBBB,12,3
BPBPBB,BBPPBBPPPPBB,BBBBPP,12,3
PBBBPB,PPBBBBPPPPBB,PPPBBP,12,3
PPBPBP,PPBBBBPPBBPP,PBPPBB,12,3
PBPBPB,PPBBPPBBBBPP,PPPPBP,12,3
PPBBPB,BBPPBBPPBBPP,BPPPPB,12,3
BBPPBP,BBPPBBPPPPBB,BPPBBB,12,3
PPBPBP,BBPPPPBBPPBB,PPBPBP,12,3
PPBPBP,BBPPPPBBBBPPPPBB,BPPPBP,16,4
BPBPBB,BBPPPPBBPPBB,BPBPBP,12,3
PBBBBP,BBPPBBPPPPBB,PPPBPP,12,3
PPBPBP,BBPPBBPPPPBB,PPPPBP,12,3
PBPPBP,BBPPBBPPPPBB,BPPBBP,12,3
PBBBPB,BBPPBBPPPPBB,PBBBPP,12,3
BPPPBP,PPBBPPBBBBPP,PPPBPP,12,3
PPBPPB,PPBBBBPPBBPP,BPPPBP,12,3
BPPPBP,PPBBPPBBBBPP,PBPBPB,12,3
BPPBBB,BBPPBBPPPPBB,PPPBPB,12,3
BPPBBB,BBPPBBPPPPBB,PPPBPB,12,3
BBBBPB,BBPPBBPPBBPP,BBPBBB,12,3
PBBBPB,BBPPPPBBBBPPPPBB,BPBPPB,16,4
BPBPBB,BBPPBBPPBBPP,PBPBPP,12,3
PPBBBP,PPBBPPBBBBPP,PBBBPB,12,3
BBBBBP,BBPPBBPPPPBB,PBBBBB,12,3
PPBPBP,BBPPBBPPBBPP,PPBPPB,12,3
PBPBBB,BBPPBBPPBBPP,BPBBPP,12,3
PPPPBP,BBPPBBPPBBPP,BPBBPB,12,3
PPPPBP,BBPPBBPPBBPPPPBB,BPBBPP,16,4
PPPBBP,PPBBBBPPBBPPBBPP,BBBBPP,16,4
BPPPPB,PPBBBBPPPPBB,PPBPPB,12,3
BBPBBB,BBPPBBPPBBPP,PBBBBP,12,3
PBPBBP,BBPPPPBBPPBB,BPPPBB,12,3
PBBBBP,BBPPPPBBPPBB,BPPBPB,12,3
PPBBPB,BBPPPPBBPPBB,PBBBPB,12,3
BBPBBB,BBPPBBPPBBPP,BPPPBB,12,3
BPPBBB,PPBBPPBBPPBB,PPBPPB,12,3
BBPBBB,BBPPPPBBBBPPBBPP,BBBPBB,16,4
PPPBBP,PPBBBBPPPPBB,PBBBBP,12,3
PBPBPP,PPBBBBPPPPBB,BPPPBB,12,3
PPPPBP,BBPPPPBBBBPP,PBPBBB,12,3
BBBBPB,BBPPBBPPPPBB,BPBPPB,12,3
BBPPBP,BBPPBBPPBBPP,BBBBPB,12,3
BBPPBP,BBPPBBPPBBPP,BBBBPB,12,3
BBPPBP,BBPPBBPPBBPP,BBBBPB,12,3
PPPBPP,PPBBBBPPBBPPPPBB,PBBPBP,16,4
PPBPBP,PPBBBBPPPPBB,BPPBBB,12,3
BBPBBP,BBPPPPBBPPBBBBPP,BPBBPP,16,4
BPPBPB,BBPPBBPPBBPP,PPPPPB,12,3
BPBBBB,BBPPBBPPPPBB,BPBBBP,12,3
BPPBBP,PPBBPPBBPPBB,BPBPBP,12,3
PBPBPB,BBPPBBPPBBPP,PPPPPB,12,3
PBPBBP,BBPPBBPPPPBB,PBPBBB,12,3
PBBPPB,PPBBBBPPPPBB,PBPPBP,12,3
PBPBPB,BBPPPPBBPPBBBBPP,PBBPPB,16,4
PPBBPB,BBPPBBPPBBPP,BPPPPB,12,3
BBPBPB,PPBBPPBBBBPP,PBPBPP,12,3
BPBPPP,PPBBPPBBBBPPPPBB,PBBBPB,16,4
PPPBBP,PPBBBBPPPPBBBBPP,PPBPBB,16,4
BBBPPP,BBPPPPBBPPBB,BPBBBB,12,3
PPPPBP,PPBBBBPPPPBB,PBBPBP,12,3
BBPPPP,PPBBPPBBPPBB,BPPPBB,12,3
PBBPPB,PPBBBBPPBBPP,BBPBBP,12,3
PBPBPB,BBPPPPBBBBPP,BPBPPB,12,3
BBBBPB,BBPPBBPPPPBB,PBPBPP,12,3
BBBPPP,BBPPBBPPPPBB,PBPBBP,12,3
BPPBBB,PPBBBBPPBBPP,PBBPBB,12,3
PPBBPB,PPBBBBPPPPBB,PBPPBP,12,3
BPPBBB,BBPPBBPPPPBB,BPPBPB,12,3
BPPBBB,BBPPBBPPPPBB,BPPBPB,12,3
BBBBPB,BBPPPPBBPPBB,PBPBBP,12,3
BBBPPP,PPBBBBPPBBPP,PBBBPB,12,3
PBBPBP,PPBBBBPPBBPPPPBB,BPPPBB,16,4
BPPPBP,PPBBBBPPBBPP,PPBPBP,12,3
BPPPBP,PPBBBBPPBBPP,PPBPBP,12,3
PPPBBB,PPBBBBPPBBPPPPBB,BPBBPB,16,4
BPBPBB,BBPPBBPPBBPPPPBB,BBBPPB,16,4
