before,bantai,after,pattern,direction
PBBBPP,BBBBBBPPB,PPBBBP,6-2-1,ลง
BPPBBB,PBBPPP,BPBBPP,1-2-3,ขึ้น
PPBPBP,BPPBBBBB,PPPBBB,1-2-5,ขึ้น
PBBPBP,BBBBBBBBPPPPPPBBBB,PBBPBP,8-6-4,ลง
BBPBPB,PBBBPPPP,BBBPPP,1-3-4,ขึ้น
PPPBBB,PPPBBP,BBBPBB,3-2-1,ลง
PBBPPB,PPPPPPBBP,BPPBBP,6-2-1,ลง
BBPBPB,PPPBBP,BPBBBP,3-2-1,ลง
BBPBBB,PBBPPPPPP,BBPBPB,1-2-6,ขึ้น
BBBPPB,PPPPBBBP,BBPPPP,4-3-1,ลง
PPPBPP,BPPPBBBBB,PBBBPP,1-3-5,ขึ้น
BBBBBP,BPPBBBBB,PBPBBB,1-2-5,ขึ้น
PPPBPP,BPPBBB,PPBBBP,1-2-3,ขึ้น
PPBBBP,BPPBBB,PPBPPB,1-2-3,ขึ้น
BBBBPB,PPPPPBBBP,BPBPBP,5-3-1,ลง
BPBBPB,PBBPPP,BPPPBB,1-2-3,ขึ้น
PPBPBP,BPPPPBBBBB,PPPPPP,1-4-5,ขึ้น
PBBBBB,PPPPPPBBBBP,BPBBBP,6-4-1,ลง
PBPPBP,BBBPPB,PBPBPP,3-2-1,ลง
PPBPPP,BPPPBBBB,PBPPPP,1-3-4,ขึ้น
BPBBPB,PBBPPPPP,BBPBPP,1-2-5,ขึ้น
PBBBBP,BBBBPPPB,PBPPBB,4-3-1,ลง
PPBPBP,BBBBPPB,PPBBBB,4-2-1,ลง
BPBBPB,PBBPPP,BPBBBB,1-2-3,ขึ้น
BPPPBP,BBBBBPPPPBB,PPBPBP,5-4-2,ลง
BPBBPB,PBBPPP,BPPBPB,1-2-3,ขึ้น
BPBBPP,BBBPPB,PBBBBP,3-2-1,ลง
PBBBPP,BBBPPB,PBBPBP,3-2-1,ลง
BBBPBP,BPPPPPPBBBBBBB,PBBBBP,1-6-7,ขึ้น
BPBBBB,PBBPPPP,BPPBBP,1-2-4,ขึ้น
BPBBBP,BPPBBBBB,PBPBBP,1-2-5,ขึ้น
BPBBBP,BBBPPB,PPPPPB,3-2-1,ลง
PBPPBP,BPPPPBBBBB,PPBBPP,1-4-5,ขึ้น
PPPPPP,BPPPPPBBBBBB,PBBBPP,1-5-6,ขึ้น
BBBBBB,PBBPPP,BBBBBP,1-2-3,ขึ้น
PBBPBB,PBBPPPPP,BPPBPP,1-2-5,ขึ้น
BBPPBB,PBBPPPPP,BPPBBP,1-2-5,ขึ้น
PBPPPB,PBBPPP,BBBBPB,1-2-3,ขึ้น
PBPPPP,BBBBPPPB,PBPPBP,4-3-1,ลง
BPBPPP,BBBPPB,PPPBBP,3-2-1,ลง
BPBPPB,PBBPPP,BPBBBB,1-2-3,ขึ้น
BPPPBP,BBBBPPB,PBPBBP,4-2-1,ลง
BBPBPB,PBBPPPPPP,BPPBBP,1-2-6,ขึ้น
PBPPPB,PBBBPPPP,BPBPBB,1-3-4,ขึ้น
PPBBPB,PPPPBBP,BBPBPB,4-2-1,ลง
PPBBPB,PBBBPPPPPP,BBPPPP,1-3-6,ขึ้น
PBBBBP,BBBPPB,PPPBPP,3-2-1,ลง
PPBPPP,BPPBBB,PPBPBP,1-2-3,ขึ้น
BBPPBP,BPPPBBBB,PBPPPB,1-3-4,ขึ้น
BPPPPB,PBBBPPPPP,BBPPBB,1-3-5,ขึ้น
BPBBBP,BBBBBBBBPPPB,PPBPPB,8-3-1,ลง
BPPBBB,PPPBBP,BBPBBB,3-2-1,ลง
BPBBPB,PBBPPP,BBPPPP,1-2-3,ขึ้น
PBPBPB,PPPPPBBBPP,BBPBBB,5-3-2,ลง
PBBPPB,PPPBBP,BBBBPP,3-2-1,ลง
PPPPBB,PPPPPPBBP,BPBBPP,6-2-1,ลง
BPBBPP,BBBBBBPPPB,PBPPBP,6-3-1,ลง
BBBBPB,PBBPPP,BBBBPB,1-2-3,ขึ้น
BBBPPP,BBBBBPPPBB,PPBBBB,5-3-2,ลง
PBPBBB,PBBPPPPPPP,BBBBPB,1-2-7,ขึ้น
PPBPBB,PBBBPPPPP,BPBBBP,1-3-5,ขึ้น
PBBPPB,PBBBPPPPPP,BPBPBB,1-3-6,ขึ้น
PPBPPP,BPPPPBBBBBB,PBPPBB,1-4-6,ขึ้น
BBBBBP,BPPBBB,PBPBBP,1-2-3,ขึ้น
BPBBBP,BPPBBBB,PBBPBP,1-2-4,ขึ้น
PBPPBB,PPPBBP,BBBBPP,3-2-1,ลง
PPPBBP,BBBBPPB,PBPPPB,4-2-1,ลง
BBPPBP,BPPPBBBB,PBPPPB,1-3-4,ขึ้น
PBPBPP,BPPBBBB,PBPPPP,1-2-4,ขึ้น
BBPBPP,BPPBBB,PBPBBB,1-2-3,ขึ้น
BPBBBB,PPBBBPPPP,BBBPPP,2-3-4,ขึ้น
PBPPPB,PBBBPPPPP,BPBPPB,1-3-5,ขึ้น
PBBBBB,PPPPPBBP,BBBPPB,5-2-1,ลง
PPBBBP,BBBBBPPPPBB,PBBPBB,5-4-2,ลง
BPBBBP,BBBBBBBBPPPPPBBB,PBPBBP,8-5-3,ลง
PBBBPB,PBBPPP,BPPBPB,1-2-3,ขึ้น
PBPPBB,PBBPPP,BBBBPP,1-2-3,ขึ้น
PBBPPP,BBBBPPPB,PPPBBB,4-3-1,ลง
BBBBBB,PBBPPPP,BPBBPP,1-2-4,ขึ้น
PBBBBB,PBBBPPPP,BPBBBB,1-3-4,ขึ้น
PPPPBP,BBBBBBBPPB,PPBPBP,7-2-1,ลง
BBPBPB,PBBPPPPP,BPPPPB,1-2-5,ขึ้น
BBPBPP,BPPBBBBB,PBPPBP,1-2-5,ขึ้น
BBBBPP,BBBBBPPB,PPPPBB,5-2-1,ลง
PBPPPP,BBBBBBBPPB,PBPBBB,7-2-1,ลง
BBPBPB,PPPPPBBBP,BPPPBP,5-3-1,ลง
BBBBPB,PPPPPBBBP,BPPPPB,5-3-1,ลง
PPPBBB,PPPBBP,BBBBPP,3-2-1,ลง
BPBBBB,PBBPPPP,BPBPPB,1-2-4,ขึ้น
BPPPPB,PBBPPPP,BBPBPB,1-2-4,ขึ้น
BBPBBP,BBBBBBBPPB,PBPPBB,7-2-1,ลง
BBPPBP,BPPBBB,PPBPBB,1-2-3,ขึ้น
BPPBBB,PBBBPPPPP,BBBPPB,1-3-5,ขึ้น
BBBPBP,BBBBBPPPPB,PBBPPP,5-4-1,ลง
BPPPPB,PBBPPP,BPBBBB,1-2-3,ขึ้น
BPBBPB,PBBPPP,BPBPBP,1-2-3,ขึ้น
PBPBBP,BBBBBPPPB,PBBPPP,5-3-1,ลง
BBPPPB,PBBPPPPP,BPPBPP,1-2-5,ขึ้น
PBPBBB,PBBPPP,BBBPBP,1-2-3,ขึ้น
BBBPBP,BPPBBB,PPBBBP,1-2-3,ขึ้น
BPBBPB,PBBPPPP,BPPBBB,1-2-4,ขึ้น
BBPPPP,BPPBBB,PBPBPB,1-2-3,ขึ้น
PPBPPP,BPPBBB,PBBBPB,1-2-3,ขึ้น
BBBBBB,PPPPPPPBBBP,BBPPBB,7-3-1,ลง
BBBPPP,BPPBBB,PBPBBP,1-2-3,ขึ้น
BBPBPP,BPPBBB,PPPPPP,1-2-3,ขึ้น
PBBBBB,PBBPPPPPPP,BBBPPB,1-2-7,ขึ้น
PPPPPP,BBBPPB,PBPBBP,3-2-1,ลง
BPBPBB,PBBBBPPPPPPP,BPPBPP,1-4-7,ขึ้น
PBBBBB,PBBBPPPPP,BBBBBB,1-3-5,ขึ้น
PBPPBB,PPPPPPBBBBP,BBBPBP,6-4-1,ลง
BPPPBP,BPPBBBBB,PPPPBB,1-2-5,ขึ้น
PBBBBB,PPPPBBP,BBPBPP,4-2-1,ลง
BBPBBP,BPPBBBBB,PPPBPB,1-2-5,ขึ้น
PPBPBP,BPPBBB,PPBPPP,1-2-3,ขึ้น
PPPBBB,PPPBBP,BBBPBP,3-2-1,ลง
PPPBBB,PBBPPP,BPBPPB,1-2-3,ขึ้น
BPBBBP,BPPBBB,PBPPBB,1-2-3,ขึ้น
PPBBBP,BPPBBBBBB,PPBBBB,1-2-6,ขึ้น
PPPBPB,PPPPPBBP,BPBBBB,5-2-1,ลง
PPBBPB,PBBBBPPPPPPP,BPPPPP,1-4-7,ขึ้น
PPBPPP,BPPBBBBBB,PBBPPB,1-2-6,ขึ้น
PBPPBB,PPPPPBBP,BPBBBB,5-2-1,ลง
PPBPBB,PBBPPPPPP,BBBBPP,1-2-6,ขึ้น
PPPPPP,BBBBPPB,PBPBPB,4-2-1,ลง
PBBBBB,PPPPPBBBBP,BBBBPB,5-4-1,ลง
BBBBPB,PPPPBBBP,BBBPPB,4-3-1,ลง
PPBBBP,BBBPPB,PBBBBB,3-2-1,ลง
BBPPBP,BPPBBBBBBBBB,PPBPBP,1-2-9,ขึ้น
BBPBPP,BBPPPPBBBBB,PPPBBP,2-4-5,ขึ้น
PBBBBB,PPPBBP,BBBPPP,3-2-1,ลง
PPBPBP,BBBPPB,PBBPPB,3-2-1,ลง
BPBPPP,BBBPPB,PBBBBB,3-2-1,ลง
BBPPBB,PBBPPP,BPBPBB,1-2-3,ขึ้น
BBBBPP,BBBBBPPB,PBPPPB,5-2-1,ลง
BPPPPP,BPPPBBBBBB,PPBPBP,1-3-6,ขึ้น
PBBBPB,PBBPPPPP,BBBBBB,1-2-5,ขึ้น
BPPPPP,BBBBBBPPPPBB,PBBPPB,6-4-2,ลง
BPBBPP,BBBBBPPB,PBBBPP,5-2-1,ลง
BBPBBP,BBBBBBBPPPB,PBPBPP,7-3-1,ลง
BPBPPP,BPPBBB,PPBBPB,1-2-3,ขึ้น
BBPPBB,PBBPPP,BBPPBB,1-2-3,ขึ้น
BBBBBB,PBBPPPP,BPPBBB,1-2-4,ขึ้น
BBPPPP,BPPBBBB,PPPBBB,1-2-4,ขึ้น
PBBPPB,PBBPPPP,BPBPPP,1-2-4,ขึ้น
PBPBBP,BPPPBBBB,PBPPPP,1-3-4,ขึ้น
PPPBBB,PPPPBBP,BPBBPB,4-2-1,ลง
BPPBBP,BBBBPPPBB,PPBBPB,4-3-2,ลง
PBPPBP,BBBBBBPPB,PPBBBB,6-2-1,ลง
BBBPBP,BPPBBBBB,PBBBPP,1-2-5,ขึ้น
PBBBBP,BPPBBB,PPBPBP,1-2-3,ขึ้น
BBPPPB,PPPPBBBPP,BPPPBB,4-3-2,ลง
PBBBBP,BBBBBPPPB,PBPBBB,5-3-1,ลง
PPBBPP,BPPBBB,PPPBBP,1-2-3,ขึ้น
BPPPPB,PPPPPPBBBP,BBBPPB,6-3-1,ลง
PPBBBP,BBBPPB,PBPPPB,3-2-1,ลง
BBPPBP,BPPPBBBBBBBBB,PBPBPP,1-3-9,ขึ้น
BPBPPP,BPPBBB,PBPPBB,1-2-3,ขึ้น
BPPPBP,BBBPPB,PBBPBB,3-2-1,ลง
BPPBPP,BPPBBB,PBPBPP,1-2-3,ขึ้น
PBBPBB,PBBPPP,BBPBBB,1-2-3,ขึ้น
BPPPPB,PBBPPP,BPBBPB,1-2-3,ขึ้น
PBBPBB,PBBPPPP,BBPPBP,1-2-4,ขึ้น
PBPBBP,BBBPPB,PBBBBB,3-2-1,ลง
BBBBBB,PBBPPPPPP,BPBBBP,1-2-6,ขึ้น
PBPBBB,PPPBBP,BBBPPB,3-2-1,ลง
BBPBBB,PBBPPPPPP,BBBPBP,1-2-6,ขึ้น
PPBPBP,BPPBBB,PPPBPP,1-2-3,ขึ้น
BPBPPB,PBBPPP,BBBBBB,1-2-3,ขึ้น
BBPPBB,PPPBBP,BBBBPP,3-2-1,ลง
PBPPPB,PPPPBBP,BPBBBB,4-2-1,ลง
PPBBPP,BBBPPB,PBBBBP,3-2-1,ลง
BBPPBP,BBBBPPB,PBPPBB,4-2-1,ลง
BBPPBP,BPPBBB,PPPBBP,1-2-3,ขึ้น
BPPBBB,PPPBBP,BPBPPB,3-2-1,ลง
PBBPBP,BPPBBBB,PPBPPP,1-2-4,ขึ้น
BPPPBP,BBBBBBPPB,PPPPBP,6-2-1,ลง
BPBBBB,PBBPPPPP,BPPBPB,1-2-5,ขึ้น
PBBBBB,PBBPPPP,BBPBPB,1-2-4,ขึ้น
BBPBBP,BBBPPB,PPBBPP,3-2-1,ลง
PBBPBP,BPPPBBBB,PBPBPP,1-3-4,ขึ้น
BBPBPB,PPPBBP,BBBBBP,3-2-1,ลง
BBBBPB,PPPPBBBP,BBBBBP,4-3-1,ลง
PBPBPB,PPPPPBBP,BPPBBB,5-2-1,ลง
PPPBBP,BPPBBB,PBBPPB,1-2-3,ขึ้น
BPPPPB,PPPPPPBBBBBP,BPBPPB,6-5-1,ลง
BBBPBP,BPPBBBBB,PBPBPP,1-2-5,ขึ้น
BBPBPB,PPPPPBBP,BBPPPP,5-2-1,ลง
PBBPBB,PPPPBBP,BPBPPP,4-2-1,ลง
BPBBPP,BBBBBBPPPPB,PBBBPB,6-4-1,ลง
BPBBBP,BBBBBPPB,PPBBPB,5-2-1,ลง
BBBPBP,BPPBBBB,PBPPPP,1-2-4,ขึ้น
BBBBPB,PPPPBBP,BBPPBB,4-2-1,ลง
PPPPBP,BBBBBPPB,PBPBBP,5-2-1,ลง
PBPBBP,BBBBPPPB,PPPBPB,4-3-1,ลง
PPBPBB,PBBPPPP,BBBBBB,1-2-4,ขึ้น
BBPPPP,BBBBBBBBBBBBBPPPPB,PPBPBB,13-4-1,ลง
PBBPBB,PBBPPPPP,BBBPPP,1-2-5,ขึ้น
BPBPPB,PPPPBBBPP,BBPBBP,4-3-2,ลง
PBPBBP,BBBBBPPB,PBPBPP,5-2-1,ลง
PPBBPP,BBPPPBBBB,PBBPPP,2-3-4,ขึ้น
PPBBBB,PBBPPPPPPP,BBPPPB,1-2-7,ขึ้น
PPPPBB,PPPBBP,BBPBBB,3-2-1,ลง
BPPPBB,PPPPBBP,BBPPPB,4-2-1,ลง
BBPPPB,PBBBBPPPPP,BBBPBB,1-4-5,ขึ้น
PPBBBP,BBBBBPPB,PBPPPB,5-2-1,ลง
PBPPPB,PPPPPBBBP,BPPBBP,5-3-1,ลง
PBBPPP,BBBPPB,PBBBPB,3-2-1,ลง
PPPBPB,PBBPPPP,BBPPBB,1-2-4,ขึ้น
PPBPBP,BPPBBBB,PBPPPB,1-2-4,ขึ้น
PBBPPP,BPPBBB,PBBBPB,1-2-3,ขึ้น
BPPBBP,BBBBPPPBB,PBPBBB,4-3-2,ลง
PPPPBP,BPPBBB,PPPBPB,1-2-3,ขึ้น
BBPPBP,BPPPBBBB,PPBPPP,1-3-4,ขึ้น
PPPBBB,PPPPPBBBBP,BBPPBP,5-4-1,ลง
PBPBBB,PBBPPPPPPP,BBPBBP,1-2-7,ขึ้น
PPPBPB,PPPBBP,BBPPBB,3-2-1,ลง
BPPBBP,BPPBBB,PPBPPP,1-2-3,ขึ้น
BBBPPB,PPPPBBP,BPBPPP,4-2-1,ลง
BPBPBB,PBBPPPPPP,BBBPBB,1-2-6,ขึ้น
BBBPBP,BPPPBBBBBB,PBBBPB,1-3-6,ขึ้น
PPPBPB,PBBPPP,BPBPBB,1-2-3,ขึ้น
PBPBBB,PPPBBP,BBPPBB,3-2-1,ลง
BBBPBP,BBBPPB,PBPPBP,3-2-1,ลง
BPPBPB,PBBPPPP,BBBBBB,1-2-4,ขึ้น
PBBPBP,BBBBBPPB,PPBBBB,5-2-1,ลง
BPPPBP,BPPBBB,PBBPPP,1-2-3,ขึ้น
BPPBBB,PBBPPPP,BBPBBP,1-2-4,ขึ้น
PPPPBB,PBBPPP,BBPPBB,1-2-3,ขึ้น
BPBBPB,PBBBBPPPPP,BBBPPB,1-4-5,ขึ้น
BBPBBP,BPPBBB,PBPBBP,1-2-3,ขึ้น
BPBBPP,BPPBBB,PPPBPB,1-2-3,ขึ้น
PBBPPB,PBBPPP,BBPPBB,1-2-3,ขึ้น
BBPPBB,PBBPPPPP,BBPBBP,1-2-5,ขึ้น
BBPBBP,BPPBBB,PBPBBP,1-2-3,ขึ้น
PPPBPP,BPPPBBBBB,PBPPBP,1-3-5,ขึ้น
PPBBBB,PPPBBP,BPPPPP,3-2-1,ลง
PPBBPB,PPPPPPPBBP,BBPBBB,7-2-1,ลง
BBBPBB,PBBPPPP,BPPBBP,1-2-4,ขึ้น
PPBBPB,PBBPPP,BPPBPB,1-2-3,ขึ้น
PPPPPP,BPPBBBBBBBB,PBPBPB,1-2-8,ขึ้น
BBPBBB,PBBBBBPPPPPPPP,BBBBPB,1-5-8,ขึ้น
PBBBBP,BBBBPPB,PPPBBP,4-2-1,ลง
PBBPPP,BPPBBBB,PBBBBP,1-2-4,ขึ้น
BPBBBB,PPPPBBBP,BBBPBP,4-3-1,ลง
BPBPPB,PPPPBBP,BPBBBP,4-2-1,ลง
PBPPPP,BPPBBB,PBPPPB,1-2-3,ขึ้น
BBBBBB,PPBBBPPPP,BPPBPP,2-3-4,ขึ้น
PPBPPB,PPPPPBBBPP,BBBPPP,5-3-2,ลง
BPPBBB,PPPBBP,BBPPBB,3-2-1,ลง
BPBPPP,BBBPPB,PBBPPB,3-2-1,ลง
BPPBPB,PBBPPP,BPPPPB,1-2-3,ขึ้น
PBPPBP,BBBBBBPPB,PBBPBP,6-2-1,ลง
PBBPPB,PPPPPPPPBBP,BBPPBP,8-2-1,ลง
BBPPBP,BPPBBBB,PBPBBB,1-2-4,ขึ้น
PBBPBP,BPPBBBB,PPPPPB,1-2-4,ขึ้น
BPPPPP,BPPBBB,PBPBPP,1-2-3,ขึ้น
BBBPBP,BPPBBB,PBBBBB,1-2-3,ขึ้น
PPPPBP,BBBBPPB,PBPPBP,4-2-1,ลง
BBBBPB,PBBBPPPP,BPBPPP,1-3-4,ขึ้น
BPPBPP,BPPBBBB,PPBPPP,1-2-4,ขึ้น
BBBPPP,BBBPPB,PPBBPP,3-2-1,ลง
PBPPBB,PPBBBPPPPP,BPBPPB,2-3-5,ขึ้น
BPBPPB,PBBBPPPP,BPPBPP,1-3-4,ขึ้น
PPPBBB,PBBPPPPPP,BBBPBB,1-2-6,ขึ้น
BPPBBP,BPPBBB,PBPBPB,1-2-3,ขึ้น
BBBPPP,BPPBBBB,PBPPPB,1-2-4,ขึ้น
PPPBBB,PPPPPPPBBBBP,BBPBBP,7-4-1,ลง
PPPPPP,BPPBBBBBB,PPPBBP,1-2-6,ขึ้น
BBBBBB,PPPBBP,BBPBBP,3-2-1,ลง
PBBBBB,PBBPPP,BPBBPP,1-2-3,ขึ้น
BBPPPB,PBBPPPPPPPP,BBBPPB,1-2-8,ขึ้น
BPPPPP,BBBBBPPB,PPBBBP,5-2-1,ลง
BBBPBP,BPPPBBBB,PBPPBP,1-3-4,ขึ้น
BPBPPB,PPPBBP,BBBPBP,3-2-1,ลง
PPBBPP,BBBBBPPB,PPPBPB,5-2-1,ลง
BPBBBB,PBBPPPP,BPBBPB,1-2-4,ขึ้น
BBPPBB,PBBPPP,BBBBPB,1-2-3,ขึ้น
BBPBBP,BPPBBB,PPBBPP,1-2-3,ขึ้น
BPPPPB,PPPBBP,BPPBBB,3-2-1,ลง
PPPBBP,BPPBBBB,PPPPPB,1-2-4,ขึ้น
PBBPPB,PPPBBP,BBBBPP,3-2-1,ลง
PBBBBB,PBBPPP,BPPPPP,1-2-3,ขึ้น
BBBPBP,BPPBBB,PBBBPP,1-2-3,ขึ้น
PBPBBB,PBBPPP,BPPPPP,1-2-3,ขึ้น
BPPBBP,BPPPBBBBBB,PPBPBP,1-3-6,ขึ้น
PBPPBB,PBBPPP,BPPBBP,1-2-3,ขึ้น
BPPBPB,PBBBBBPPPPPPPP,BBBPBB,1-5-8,ขึ้น
PPPBBB,PBBPPP,BPBBBP,1-2-3,ขึ้น
BPPBPB,PPPPBBBP,BPBPBP,4-3-1,ลง
BPPBBB,PBBPPP,BPBPBB,1-2-3,ขึ้น
BPBBPB,PPPBBP,BBPBBB,3-2-1,ลง
BPBPBB,PBBPPPPPP,BBPBPB,1-2-6,ขึ้น
PBBPBP,BBBBPPB,PBBPBB,4-2-1,ลง
PPBPBP,BPPBBBB,PPBBPB,1-2-4,ขึ้น
BPPPPP,BBPPPBBBB,PBBBPB,2-3-4,ขึ้น
BPBBBP,BPPBBBBB,PPPBBP,1-2-5,ขึ้น
PBBBBB,PPPBBP,BBPBBP,3-2-1,ลง
BBBPBB,PBBPPPPPP,BPBBPP,1-2-6,ขึ้น
BPPBPB,PBBPPP,BPBBBB,1-2-3,ขึ้น
BPPBPP,BPPPBBBB,PBBPPP,1-3-4,ขึ้น
PPBBBB,PBBPPP,BPPPBP,1-2-3,ขึ้น
PPPBBP,BBBBBBPPB,PBPBPB,6-2-1,ลง
PPPPBP,BBBBBPPPPB,PBBPBP,5-4-1,ลง
PBPBBP,BPPBBB,PPPPBB,1-2-3,ขึ้น
BPPBBB,PPPPBBP,BBPBPP,4-2-1,ลง
PPPBPB,PPPPPPPBBP,BPPPBP,7-2-1,ลง
PBPPPP,BBBBPPPB,PBPPPB,4-3-1,ลง
PPPBPB,PPPBBP,BPPPPB,3-2-1,ลง
PPBBPB,PPPPBBP,BBPBPP,4-2-1,ลง
PPPPPP,BPPPBBBBB,PPPPBB,1-3-5,ขึ้น
PBPPBP,BBBBPPB,PBPBPB,4-2-1,ลง
BPPPPP,BPPBBB,PBBPBP,1-2-3,ขึ้น
PBPPBB,PPPPBBP,BPPPPP,4-2-1,ลง
BBPBBB,PBBPPP,BBPBPB,1-2-3,ขึ้น
PPBBPB,PBBPPP,BBBPBB,1-2-3,ขึ้น
BPPBPP,BBPPPBBBBBBB,PBPPBB,2-3-7,ขึ้น
PBPPBB,PPPPPPBBBP,BPPBPP,6-3-1,ลง
BPPBPP,BPPBBB,PPPBBB,1-2-3,ขึ้น
PPPPPP,BPPBBB,PPBPPB,1-2-3,ขึ้น
PPBPPB,PPPBBP,BBBBPB,3-2-1,ลง
PPPBPB,PPPBBP,BPPBPP,3-2-1,ลง
BPBPPB,PPPBBP,BBBBPB,3-2-1,ลง
BBPBBP,BBBPPB,PBPPPP,3-2-1,ลง
PPBBBB,PPPPBBP,BPPBBB,4-2-1,ลง
PPPBBP,BPPBBBBB,PBBBPP,1-2-5,ขึ้น
PPBPPP,BBBPPB,PPBPBP,3-2-1,ลง
PBPBPB,PPPPPBBP,BPBPBP,5-2-1,ลง
PPBBPB,PPPPBBP,BBPPPP,4-2-1,ลง
BPPBBB,PPPBBP,BBBPBP,3-2-1,ลง
PBPBPB,PPPBBP,BBBBPB,3-2-1,ลง
BBBPPB,PPPPPBBBP,BPBBBP,5-3-1,ลง
BPPBPP,BPPBBB,PBBBBP,1-2-3,ขึ้น
PBBBBP,BBBBPPB,PBBBPP,4-2-1,ลง
PPPPPB,PPPBBP,BBPPBP,3-2-1,ลง
BBPPBP,BPPBBBB,PBBBBB,1-2-4,ขึ้น
BBPBBB,PBBPPP,BBBBBP,1-2-3,ขึ้น
PPPBBB,PPPPBBP,BPBBPB,4-2-1,ลง
PPBBPP,BPPBBBBBBBB,PPBBPB,1-2-8,ขึ้น
PBPBPB,PPPPPPBBBBP,BBPPBB,6-4-1,ลง
BPPPPP,BPPBBB,PBBPPB,1-2-3,ขึ้น
PBPPPP,BPPBBBBBBB,PBPBPP,1-2-7,ขึ้น
PBPBBB,PPPBBP,BPBBPB,3-2-1,ลง
BBBBPB,PPPPPBBP,BPPPBB,5-2-1,ลง
PBPBBB,PPBBBPPPPPP,BPPBBP,2-3-6,ขึ้น
PBBPPB,PPPPPBBP,BPPBPB,5-2-1,ลง
PPBPPP,BPPPPPPPBBBBBBBBB,PBPPBB,1-7-9,ขึ้น
PPBBPP,BBBBBBPPB,PBPBBP,6-2-1,ลง
BPPBPB,PBBPPPPPP,BBBBPB,1-2-6,ขึ้น
BBPPPP,BBBPPB,PBPBPB,3-2-1,ลง
BPBBBP,BBBPPB,PBPBBP,3-2-1,ลง
BPPPPB,PBBBPPPP,BPBBBP,1-3-4,ขึ้น
PPBPBB,PPBBBPPPP,BPBPBP,2-3-4,ขึ้น
PBBPPB,PPPPPBBP,BBBPPP,5-2-1,ลง
PPPPBP,BBBBPPB,PBBPPB,4-2-1,ลง
PBBPPB,PBBPPPPPPP,BPBBBP,1-2-7,ขึ้น
PPPPBP,BBBPPB,PPPPBP,3-2-1,ลง
PBBBBB,PBBPPP,BBBBPP,1-2-3,ขึ้น
PBBPPP,BBBBPPPBB,PBPPPB,4-3-2,ลง
PPPBBP,BPPPBBBBB,PBPBPB,1-3-5,ขึ้น
PBPBBB,PPPBBP,BBPPPP,3-2-1,ลง
PBBPPB,PBBBPPPP,BBBBBB,1-3-4,ขึ้น
PBPPBP,BBBBPPPB,PBBBBP,4-3-1,ลง
BPBPPB,PPPBBP,BPPBPP,3-2-1,ลง
PBPPBB,PBBPPP,BPBBBP,1-2-3,ขึ้น
PBPBBB,PPPBBP,BPBPBB,3-2-1,ลง
BPPPBP,BPPPBBBBB,PPBPBB,1-3-5,ขึ้น
BPBBBP,BBBBBPPB,PPPBBP,5-2-1,ลง
BPPBPP,BPPBBBB,PBPPBP,1-2-4,ขึ้น
BPBPPB,PBBBPPPPP,BPBBPP,1-3-5,ขึ้น
PPPPPB,PBBPPP,BPPBPB,1-2-3,ขึ้น
PBPBBP,BBBBBPPPPBB,PBBPPB,5-4-2,ลง
PPBPPB,PPPPPPPPBBBBP,BBBPPB,8-4-1,ลง
BPBBBP,BPPBBBBB,PPBBPP,1-2-5,ขึ้น
BPPPPP,BPPPBBBBB,PPBBBB,1-3-5,ขึ้น
PBPPPB,PBBBPPPPP,BBBPBP,1-3-5,ขึ้น
BPBBPP,BBBPPB,PBBPPP,3-2-1,ลง
BBBPPB,PBBPPP,BPBPBB,1-2-3,ขึ้น
PPBPBP,BBBBBPPPB,PPBPBB,5-3-1,ลง
BPBBBP,BBBPPB,PBBBBB,3-2-1,ลง
BBPPBP,BBBBBBBBPPPPBB,PBBBPB,8-4-2,ลง
BBBBBP,BBBPPB,PPPPBB,3-2-1,ลง
BBPPBB,PBBPPP,BPBBBP,1-2-3,ขึ้น
BBPPPB,PBBBPPPPPPP,BBPPPP,1-3-7,ขึ้น
PPPPBB,PPPPPBBBP,BPBBPB,5-3-1,ลง
PBBPPP,BPPPBBBBB,PBPBBB,1-3-5,ขึ้น
PPPPBP,BBBBBPPB,PBBBBB,5-2-1,ลง
BPBPBB,PBBBBPPPPP,BPBBBB,1-4-5,ขึ้น
BBPPBP,BPPBBB,PPPBPB,1-2-3,ขึ้น
BBPPBP,BBBBBPPB,PPBPPB,5-2-1,ลง
BPPBPP,BPPBBB,PBBPBP,1-2-3,ขึ้น
BPBBPB,PPPPBBBPP,BPBPBB,4-3-2,ลง
PPPBBB,PPPPBBBPP,BPPBPP,4-3-2,ลง
PPPBPB,PPPPPBBBP,BBBPPP,5-3-1,ลง
PBBBPP,BBPPPPPBBBBBB,PPPBBP,2-5-6,ขึ้น
PPPPPB,PBBPPPPPPP,BPBBPB,1-2-7,ขึ้น
BBPBBB,PBBPPP,BPPPBP,1-2-3,ขึ้น
BBPPBP,BPPBBBB,PBBPPP,1-2-4,ขึ้น
PPBBBB,PBBPPP,BPPBBB,1-2-3,ขึ้น
PBBPPP,BPPBBBB,PBPPPP,1-2-4,ขึ้น
PBPPBP,BPPBBB,PBPBPB,1-2-3,ขึ้น
BBPBBP,BBBBPPPB,PPBPBB,4-3-1,ลง
BPBBPP,BBPPPPPBBBBBB,PBBPPB,2-5-6,ขึ้น
BPPBPB,PPPPBBBPP,BPBBPP,4-3-2,ลง
BPPBPB,PPPPBBBPP,BPBBPP,4-3-2,ลง
